Depth(m),Age(kaBP),Deuterium(‰SMOW),dTemp(ºC)
2757.15,415.875,-393.5,0.31
2757.7,416.125,-394.7,0.1
2758.25,416.38,-391.4,0.63
2758.8,416.624,-393.1,0.33
2759.35,416.874,-390.9,0.67
2759.9,417.118,-389.8,0.83
2760.45,417.358,-392.4,0.38
2761,417.608,-392.6,0.32
2761.55,417.86,-390.7,0.61
2762.1,418.106,-393.8,0.08
2762.65,418.364,-394.1,0.01
2763.2,418.624,-395.7,-0.28
2763.75,418.889,-395.8,-0.32
2764.3,419.133,-395.2,-0.24
2764.85,419.398,-395.7,-0.35
2765.4,419.666,-394,-0.09
2765.95,419.929,-397.1,-0.62
2766.5,420.203,-396.1,-0.48
2767.05,420.474,-394.8,-0.29
2767.6,420.741,-396.5,-0.59
2768.15,421.013,-397.3,-0.75
2768.7,421.29,-400.9,-1.37
2769.25,421.582,-401.1,-1.43
2769.8,421.871,-402.7,-1.72
2770.35,422.171,-403.4,-1.87
2770.9,422.475,-401.3,-1.55
2771.45,422.768,-400.9,-1.51
2772,423.056,-405,-2.21
2772.55,423.359,-407.1,-2.59
2773.1,423.669,-404,-2.1
2773.65,423.963,-405.3,-2.34
2774.2,424.263,-398.8,-1.29
2774.75,424.536,-392.3,-0.24
2775.3,424.784,-390.1,0.09
2775.85,425.027,-392.2,-0.29
2776.4,425.277,-396.2,-0.99
2776.95,425.537,-401.5,-1.9
2777.5,425.813,-401,-1.85
2778.05,426.09,-402.5,-2.13
2778.6,426.39,-405.6,-2.67
2779.15,426.715,-403.1,-2.29
2779.7,427.02,-406.8,-2.93
2780.25,427.343,-412.8,-3.95
2780.8,427.684,-417.2,-4.7
2781.35,428.065,-416.6,-4.63
2781.9,428.444,-423.7,-5.83
2782.45,428.868,-424.9,-6.05
2783,429.259,-428.1,-6.61
2783.55,429.718,-429,-6.79
2784.1,430.187,-433.6,-7.58
2784.65,430.693,-436.6,-8.1
2785.2,431.226,-437,-8.19
2785.75,431.767,-436.9,-8.19
2786.3,432.326,-436.8,-8.19
2786.85,432.87,-437.8,-8.39
2787.4,433.425,-436,-8.12
2787.95,433.969,-438.6,-8.58
2788.5,434.472,-435.9,-8.17
2789.05,435.023,-437.7,-8.49
2789.6,435.592,-434.8,-8.03
2790.15,436.141,-440,-8.91
