Depth(m),Age(kaBP),Deuterium(‰SMOW),dTemp(ºC)
6.6,0.038,-390.9,0.88
7.15,0.047,-385.1,1.84
7.7,0.055,-377.8,3.04
8.25,0.064,-394.1,0.35
8.8,0.073,-398.7,-0.42
9.35,0.082,-395.9,0.05
9.9,0.091,-395.9,0.05
10.45,0.1,-399.3,-0.52
11,0.11,-391.4,0.79
11.55,0.119,-399.5,-0.55
12.1,0.129,-402.9,-1.11
12.65,0.14,-393.9,0.38
13.2,0.15,-398.6,-0.4
13.75,0.161,-389.8,1.05
14.3,0.171,-394.5,0.28
14.85,0.181,-400.5,-0.72
15.4,0.191,-403.6,-1.23
15.95,0.202,-393.1,0.51
16.5,0.212,-410.9,-2.44
17.05,0.223,-393.6,0.42
17.6,0.234,-391.1,0.84
18.15,0.245,-391.9,0.71
18.7,0.255,-396.3,-0.02
19.25,0.267,-397,-0.14
19.8,0.278,-404.7,-1.41
20.35,0.289,-398.2,-0.34
20.9,0.301,-395.2,0.16
21.45,0.312,-403.5,-1.22
22,0.324,-398.6,-0.41
22.55,0.336,-399.7,-0.59
23.1,0.347,-396,0.03
23.65,0.359,-400.2,-0.67
24.2,0.371,-401.6,-0.9
24.75,0.383,-405.4,-1.53
25.3,0.395,-399,-0.47
25.85,0.407,-396.9,-0.12
26.4,0.419,-394.9,0.21
26.95,0.43,-406.6,-1.73
27.5,0.442,-395.2,0.16
28.05,0.454,-395.3,0.14
28.6,0.466,-399.5,-0.56
29.15,0.478,-401,-0.8
29.7,0.49,-393.6,0.42
30.25,0.503,-410.4,-2.36
30.8,0.516,-401.3,-0.85
31.35,0.529,-398.3,-0.36
31.9,0.542,-388.5,1.26
32.45,0.555,-391.9,0.7
33,0.568,-400.8,-0.77
33.55,0.581,-387.7,1.4
34.1,0.594,-401.4,-0.87
34.65,0.606,-401,-0.81
35.2,0.619,-387.3,1.46
35.75,0.632,-390.2,0.98
36.3,0.645,-394.5,0.27
36.85,0.658,-401.9,-0.96
37.4,0.672,-399.8,-0.61
37.95,0.687,-399.9,-0.63
38.5,0.701,-399.1,-0.49
39.05,0.715,-401.9,-0.96
39.6,0.729,-404.8,-1.44
40.15,0.744,-401.6,-0.91
40.7,0.759,-396.7,-0.1
41.25,0.772,-397.1,-0.16
41.8,0.786,-394.2,0.32
42.35,0.799,-395.9,0.03
42.9,0.812,-392.7,0.56
43.45,0.825,-390.4,0.94
44,0.837,-389,1.17
44.55,0.849,-387,1.5
45.1,0.862,-402.3,-1.03
45.65,0.875,-392.5,0.59
46.2,0.889,-404.6,-1.41
46.75,0.903,-390.5,0.92
47.3,0.917,-402.3,-1.03
47.85,0.932,-400.1,-0.67
48.4,0.947,-399.4,-0.55
48.95,0.961,-400.6,-0.75
49.5,0.976,-393.8,0.38
50.05,0.99,-398.5,-0.4
50.6,1.005,-398.7,-0.44
51.15,1.019,-401.8,-0.95
51.7,1.032,-395.2,0.14
52.25,1.047,-390.1,0.99
52.8,1.061,-393.9,0.36
53.35,1.075,-400.6,-0.75
53.9,1.089,-400.9,-0.8
54.45,1.104,-391.7,0.72
55,1.118,-399.3,-0.54
55.55,1.133,-386.7,1.55
56.1,1.147,-401.5,-0.9
56.65,1.161,-398.1,-0.34
57.2,1.174,-390.4,0.93
57.75,1.188,-389.8,1.03
58.3,1.201,-390.7,0.88
58.85,1.215,-399.3,-0.54
59.4,1.229,-392.5,0.58
59.95,1.244,-393.8,0.37
60.5,1.258,-394.4,0.27
61.05,1.273,-397,-0.16
61.6,1.287,-397.8,-0.3
62.15,1.302,-388.6,1.23
62.7,1.316,-394.7,0.22
63.25,1.33,-390.6,0.89
63.8,1.345,-397,-0.17
64.35,1.359,-386.6,1.55
64.9,1.373,-390.6,0.89
65.45,1.387,-397,-0.17
66,1.401,-396.1,-0.02
66.55,1.416,-398.9,-0.48
67.1,1.432,-400.2,-0.7
67.65,1.448,-398.7,-0.45
68.2,1.463,-389.7,1.04
68.75,1.479,-401.6,-0.93
69.3,1.494,-397.9,-0.32
69.85,1.51,-399.2,-0.54
70.4,1.525,-397.6,-0.27
70.95,1.541,-390.5,0.9
71.5,1.556,-401.5,-0.92
72.05,1.572,-395.7,0.04
72.6,1.588,-394.5,0.24
73.15,1.604,-402.9,-1.15
73.7,1.621,-401,-0.84
74.25,1.637,-391.5,0.73
74.8,1.654,-403.4,-1.24
75.35,1.67,-393.4,0.42
75.9,1.686,-393.8,0.35
76.45,1.702,-400.8,-0.81
77,1.72,-399.3,-0.56
77.55,1.737,-396.6,-0.11
78.1,1.754,-395.3,0.1
78.65,1.771,-392.6,0.55
79.2,1.787,-404.4,-1.41
79.75,1.804,-394.4,0.25
80.3,1.822,-402.2,-1.04
80.85,1.839,-401.9,-0.99
81.4,1.856,-393.8,0.35
81.95,1.873,-402.3,-1.06
82.5,1.889,-385.1,1.79
83.05,1.905,-395.9,0
83.6,1.922,-395.8,0.01
84.15,1.938,-398.2,-0.38
84.7,1.956,-394.8,0.18
85.25,1.973,-397.7,-0.3
85.8,1.99,-400.3,-0.73
86.35,2.007,-402.4,-1.08
86.9,2.025,-396,-0.02
87.45,2.044,-401.4,-0.92
88,2.061,-386.1,1.62
88.55,2.078,-400.1,-0.7
89.1,2.095,-400.3,-0.74
89.65,2.113,-393.2,0.44
90.2,2.13,-399.7,-0.64
90.75,2.147,-397.9,-0.34
91.3,2.165,-402,-1.02
91.85,2.184,-398.7,-0.48
92.4,2.202,-398.6,-0.46
92.95,2.219,,0.2
93.5,2.237,-390.6,0.86
94.05,2.253,-394,0.3
94.6,2.271,-397.9,-0.35
95.15,2.289,-394.8,0.17
95.7,2.306,-408.2,-2.05
96.25,2.327,-404.3,-1.41
96.8,2.347,-399.6,-0.63
97.35,2.367,-400.8,-0.83
97.9,2.385,-401.5,-0.94
98.45,2.405,-407.7,-1.97
99,2.424,-400.5,-0.78
99.55,2.443,-395.8,0
100.1,2.463,-399.7,-0.65
100.65,2.481,-399.6,-0.63
101.2,2.5,-394.8,0.16
101.75,2.518,-398.5,-0.45
102.3,2.535,-390.2,0.92
102.85,2.553,-396.4,-0.11
103.4,2.571,-392.7,0.51
103.95,2.589,-400.4,-0.77
104.5,2.607,-393.5,0.37
105.05,2.625,-390.6,0.85
105.6,2.642,-395.2,0.09
106.15,2.659,-396.9,-0.19
106.7,2.678,-399.1,-0.56
107.25,2.697,-396.9,-0.2
107.8,2.715,-401,-0.88
108.35,2.733,-387.9,1.29
108.9,2.75,-390.3,0.89
109.45,2.767,-390.8,0.81
110,2.784,-390.2,0.91
110.55,2.801,-395.6,0.01
111.1,2.818,-387.7,1.32
111.65,2.835,-388.9,1.12
112.2,2.852,-388.9,1.12
112.75,2.87,-395.4,0.04
113.3,2.888,-399.5,-0.64
113.85,2.906,-401.7,-1
114.4,2.924,-392.2,0.57
114.95,2.943,-393.9,0.29
115.5,2.961,-397.7,-0.34
116.05,2.98,-401.1,-0.91
116.6,3,-395.7,-0.01
117.15,3.019,-398.7,-0.51
117.7,3.037,-395,0.1
118.25,3.056,-394.7,0.15
118.8,3.074,-395.8,-0.03
119.35,3.092,-391.8,0.63
119.9,3.11,,0.95
120.45,3.129,-387.9,1.27
121,3.147,-404.4,-1.46
121.55,3.165,-401.1,-0.91
122.1,3.186,-403.4,-1.3
122.65,3.207,-391.8,0.62
123.2,3.227,-400.5,-0.82
123.75,3.247,-406.2,-1.76
124.3,3.267,-392.7,0.47
124.85,3.287,-400,-0.74
125.4,3.307,-401.9,-1.05
125.95,3.326,-391.3,0.7
126.5,3.346,-399.8,-0.71
127.05,3.365,-404.2,-1.44
127.6,3.385,-395.6,-0.01
128.15,3.405,-397.2,-0.28
128.7,3.425,-398.2,-0.44
129.25,3.445,-396.6,-0.18
129.8,3.465,-395.6,-0.02
130.35,3.484,-392.7,0.46
130.9,3.503,-401.8,-1.04
131.45,3.522,-387.3,1.35
132,3.541,-394.6,0.15
132.55,3.559,-397.2,-0.29
133.1,3.578,-394.5,0.16
133.65,3.598,-399.5,-0.67
134.2,3.618,-389.9,0.92
134.75,3.636,-390.8,0.77
135.3,3.654,-394.4,0.17
135.85,3.672,-391.7,0.62
136.4,3.691,-389.2,1.03
136.95,3.709,-401.6,-1.02
137.5,3.727,-387.2,1.36
138.05,3.746,-387.8,1.26
138.6,3.764,-404.9,-1.57
139.15,3.783,-388.9,1.07
139.7,3.802,-394.9,0.08
140.25,3.822,-393.8,0.26
140.8,3.842,-399.6,-0.7
141.35,3.861,-400.9,-0.92
141.9,3.881,-391,0.72
142.45,3.9,-396.1,-0.12
143,3.92,-398.5,-0.52
143.55,3.94,-396.5,-0.19
144.1,3.96,-397.8,-0.41
144.65,3.98,-392.9,0.4
145.2,3.999,-398.7,-0.56
145.75,4.019,-398.9,-0.59
146.3,4.038,-390.6,0.78
146.85,4.057,-390.4,0.81
147.4,4.076,-402.3,-1.16
147.95,4.095,-389.9,0.89
148.5,4.115,-390.3,0.82
149.05,4.134,-398.8,-0.59
149.6,4.154,-397.8,-0.42
150.15,4.173,-394.9,0.06
150.7,4.193,-392.2,0.5
151.25,4.212,-404.7,-1.57
151.8,4.231,-391.2,0.67
152.35,4.25,-387.3,1.31
152.9,4.269,-396.4,-0.2
153.45,4.288,-387,1.36
154,4.307,-398.1,-0.48
154.55,4.326,-401.4,-1.03
155.1,4.347,-395.2,0
155.65,4.367,-393.4,0.29
156.2,4.387,-394.9,0.04
156.75,4.406,-397.1,-0.32
157.3,4.426,-400.6,-0.9
157.85,4.445,-393,0.35
158.4,4.465,-387.1,1.33
158.95,4.484,-397.5,-0.39
159.5,4.503,-390.4,0.78
160.05,4.521,-399.3,-0.7
160.6,4.542,-397.5,-0.4
161.15,4.562,-399.9,-0.8
161.7,4.582,-395,0.01
162.25,4.602,-394.1,0.16
162.8,4.622,-393.4,0.27
163.35,4.642,-398.4,-0.56
163.9,4.661,-395.1,-0.01
164.45,4.681,-396,-0.16
165,4.701,-397.3,-0.38
165.55,4.721,-389.3,0.94
166.1,4.741,-399.6,-0.76
166.65,4.76,-402.3,-1.21
167.2,4.781,-396.7,-0.28
167.75,4.801,-397.2,-0.37
168.3,4.821,-402,-1.16
168.85,4.842,-396.9,-0.32
169.4,4.863,-390.9,0.67
169.95,4.882,-393.4,0.25
170.5,4.901,-395.9,-0.16
171.05,4.92,-395.1,-0.03
171.6,4.939,-392.7,0.37
172.15,4.958,-389,0.98
172.7,4.978,-397.9,-0.5
173.25,4.997,-398.9,-0.66
173.8,5.018,-396.8,-0.32
174.35,5.037,-396.6,-0.29
174.9,5.057,-392.7,0.36
175.45,5.077,-400.6,-0.95
176,5.097,-396.3,-0.24
176.55,5.118,-395.6,-0.13
177.1,5.137,-393.3,0.25
177.65,5.156,-391.4,0.56
178.2,5.175,-391.3,0.58
178.75,5.193,-393.2,0.26
179.3,5.212,-397.6,-0.47
179.85,5.232,-395.8,-0.17
180.4,5.253,-403.1,-1.38
180.95,5.273,-396.3,-0.26
181.5,5.293,-390.6,0.69
182.05,5.312,-396,-0.21
182.6,5.332,-390.6,0.68
183.15,5.351,-396.3,-0.26
183.7,5.37,-394.5,0.03
184.25,5.389,-391.4,0.54
184.8,5.409,-407.6,-2.14
185.35,5.43,-401.2,-1.08
185.9,5.453,-402.4,-1.28
186.45,5.474,-395,-0.06
187,5.495,-402.5,-1.3
187.55,5.516,-407.9,-2.19
188.1,5.539,-399.6,-0.82
188.65,5.561,-394.6,0
189.2,5.58,-387.2,1.23
189.75,5.598,-396.2,-0.26
190.3,5.617,-394,0.1
190.85,5.637,-399.1,-0.75
191.4,5.657,-395.2,-0.1
191.95,5.677,-396,-0.24
192.5,5.697,-400.4,-0.97
193.05,5.717,-391.1,0.57
193.6,5.736,-399.2,-0.77
194.15,5.756,-386.2,1.38
194.7,5.774,-398.9,-0.72
195.25,5.793,-389,0.91
195.8,5.811,-388.4,1.01
196.35,5.831,-400.4,-0.98
196.9,5.85,-392.7,0.29
197.45,5.868,-391,0.57
198,5.887,-392.5,0.32
198.55,5.905,-397.7,-0.54
199.1,5.926,-399.8,-0.89
199.65,5.946,-398.7,-0.71
200.2,5.967,-403.7,-1.54
200.75,5.989,-397.4,-0.5
201.3,6.009,-391.7,0.45
201.85,6.028,-394.5,-0.02
202.4,6.047,-396.8,-0.4
202.95,6.067,-399.2,-0.8
203.5,6.087,-394,0.06
204.05,6.107,-391.4,0.49
204.6,6.127,-403.5,-1.52
205.15,6.147,-389.5,0.8
205.7,6.166,-399.9,-0.93
206.25,6.186,-397.4,-0.51
206.8,6.205,-398.6,-0.71
207.35,6.225,-394.1,0.03
207.9,6.245,-398.4,-0.68
208.45,6.265,-401.7,-1.23
209,6.286,-392.6,0.27
209.55,6.306,-395.4,-0.19
210.1,6.326,-402.1,-1.3
210.65,6.346,-403.6,-1.55
211.2,6.367,-396.5,-0.38
211.75,6.388,-402.5,-1.37
212.3,6.409,-398.8,-0.76
212.85,6.43,-397,-0.47
213.4,6.449,-389.4,0.79
213.95,6.468,-395,-0.14
214.5,6.487,-404.9,-1.78
215.05,6.509,-402.2,-1.34
215.6,6.531,-389.2,0.81
216.15,6.55,-397,-0.48
216.7,6.57,-401.8,-1.27
217.25,6.59,-398.4,-0.71
217.8,6.612,-407.8,-2.27
218.35,6.633,-395.4,-0.22
218.9,6.654,-403.1,-1.5
219.45,6.675,-406.1,-2
220,6.695,-390.4,0.6
220.55,6.715,-392.6,0.23
221.1,6.735,-395.7,-0.28
221.65,6.755,-402.9,-1.47
222.2,6.775,-401.9,-1.31
222.75,6.797,-401.2,-1.2
223.3,6.818,-400.4,-1.07
223.85,6.838,-397.5,-0.59
224.4,6.858,-389.4,0.75
224.95,6.877,-395.4,-0.25
225.5,6.895,-387.9,0.99
226.05,6.913,-398.3,-0.73
226.6,6.933,-398.7,-0.8
227.15,6.953,-401.3,-1.23
227.7,6.974,-396.8,-0.49
228.25,6.994,-395.6,-0.29
228.8,7.013,-402.5,-1.44
229.35,7.034,-399.5,-0.94
229.9,7.056,-397.8,-0.66
230.45,7.076,-400.5,-1.11
231,7.097,-400.8,-1.16
231.55,7.118,-396.1,-0.39
232.1,7.139,-405.3,-1.91
232.65,7.16,-411.9,-3
233.2,7.183,-401.7,-1.32
233.75,7.206,-399.3,-0.93
234.3,7.228,-404.7,-1.82
234.85,7.249,-403.1,-1.56
235.4,7.27,-402.3,-1.43
235.95,7.292,-396.1,-0.4
236.5,7.311,-388.3,0.88
237.05,7.33,-398.5,-0.81
237.6,7.349,-406.3,-2.1
238.15,7.371,-399.9,-1.04
238.7,7.392,-404.7,-1.84
239.25,7.414,-403.8,-1.69
239.8,7.436,-395,-0.24
240.35,7.457,-402.8,-1.53
240.9,7.478,-404.2,-1.77
241.45,7.498,-399.1,-0.93
242,7.519,-393.3,0.03
242.55,7.539,-399.1,-0.93
243.1,7.557,-389.2,0.7
243.65,7.576,-397.7,-0.71
244.2,7.595,-388.4,0.83
244.75,7.614,-400.3,-1.14
245.3,7.633,-403.7,-1.71
245.85,7.655,-398.3,-0.82
246.4,7.676,-396.1,-0.46
246.95,7.695,-390.7,0.43
247.5,7.714,-404.7,-1.88
248.05,7.733,-400.2,-1.14
248.6,7.753,-388.5,0.79
249.15,7.773,-390.4,0.47
249.7,7.792,-405.5,-2.03
250.25,7.812,-399.5,-1.04
250.8,7.833,-402.1,-1.47
251.35,7.854,-402.2,-1.49
251.9,7.874,-395.2,-0.34
252.45,7.894,-391.6,0.26
253,7.913,-396.5,-0.56
253.55,7.933,-399.5,-1.06
254.1,7.953,-400.6,-1.24
254.65,7.974,-401.6,-1.41
255.2,7.995,-400.6,-1.25
255.75,8.016,-406.3,-2.19
256.3,8.038,-398.3,-0.87
256.85,8.06,-411.7,-3.09
257.4,8.083,-399.8,-1.13
257.95,8.104,-396.9,-0.65
258.5,8.124,-401.4,-1.4
259.05,8.145,-405.3,-2.04
259.6,8.168,-408.3,-2.54
260.15,8.191,-406.5,-2.25
260.7,8.213,-400.8,-1.31
261.25,8.235,-403.2,-1.71
261.8,8.256,-397.5,-0.77
262.35,8.277,-401,-1.35
262.9,8.298,-401.5,-1.43
263.45,8.319,-400.4,-1.26
264,8.34,-400.3,-1.24
264.55,8.361,-407.3,-2.4
265.1,8.383,-403,-1.69
265.65,8.405,-404.2,-1.89
266.2,8.427,-401.2,-1.4
266.75,8.448,-397.2,-0.74
267.3,8.468,-396.9,-0.7
267.85,8.488,-397.8,-0.85
268.4,8.508,-409.5,-2.79
268.95,8.529,-397.1,-0.74
269.5,8.55,-390.3,0.38
270.05,8.57,-397.5,-0.81
270.6,8.589,-401.9,-1.54
271.15,8.609,-392.4,0.02
271.7,8.629,-399.9,-1.22
272.25,8.648,-399.3,-1.13
272.8,8.668,-396.7,-0.7
273.35,8.688,-402.1,-1.6
273.9,8.709,-401.8,-1.55
274.45,8.73,-397.5,-0.84
275,8.75,-400.2,-1.29
275.55,8.77,-395,-0.44
276.1,8.79,-404.4,-2
276.65,8.811,-402.1,-1.62
277.2,8.833,-397.9,-0.93
277.75,8.852,-393.4,-0.19
278.3,8.872,-397.7,-0.9
278.85,8.891,-397.4,-0.86
279.4,8.911,-397.4,-0.86
279.95,8.931,-399,-1.13
280.5,8.95,-391.8,0.05
281.05,8.969,-392.7,-0.1
281.6,8.988,-401.1,-1.49
282.15,9.008,-396.1,-0.67
282.7,9.027,-397.7,-0.94
283.25,9.047,-395.6,-0.59
283.8,9.066,-398.6,-1.09
284.35,9.086,-394.9,-0.49
284.9,9.105,-394.9,-0.49
285.45,9.126,-407.4,-2.56
286,9.147,-403.4,-1.9
286.55,9.168,-392.2,-0.06
287.1,9.187,-400.4,-1.42
287.65,9.207,-391.1,0.11
288.2,9.224,-388.5,0.54
288.75,9.242,-394.8,-0.51
289.3,9.262,-397.7,-0.99
289.85,9.281,-401.2,-1.57
290.4,9.301,-391.9,-0.04
290.95,9.319,-393.3,-0.28
291.5,9.338,-394.3,-0.45
292.05,9.357,-395,-0.57
292.6,9.376,-392.4,-0.14
293.15,9.394,-393.5,-0.33
293.7,9.412,-390,0.24
294.25,9.43,,0.36
294.8,9.447,-388.5,0.48
295.35,9.464,-394.3,-0.48
295.9,9.484,-403.6,-2.02
296.45,9.504,-393.3,-0.33
297,9.523,-398,-1.11
297.55,9.542,-391,0.04
298.1,9.561,-395.8,-0.75
298.65,9.578,-386.4,0.79
299.2,9.596,-391.8,-0.1
299.75,9.614,-398.2,-1.16
300.3,9.633,-391.6,-0.08
300.85,9.652,-393.4,-0.38
301.4,9.669,-384.4,1.11
301.95,9.686,-391.3,-0.04
302.5,9.704,-391,0.01
303.05,9.721,-388.3,0.45
303.6,9.738,-391.4,-0.07
304.15,9.755,-382.9,1.33
304.7,9.772,-387.2,0.62
305.25,9.789,-405.5,-2.4
305.8,9.809,-391.7,-0.13
306.35,9.828,-392.1,-0.2
306.9,9.847,-400.4,-1.57
307.45,9.866,-386.7,0.68
308,9.884,-394.5,-0.61
308.55,9.902,-389.9,0.15
309.1,9.92,-394.7,-0.65
309.65,9.939,-396.6,-0.97
310.2,9.957,-388.6,0.35
310.75,9.976,-392.9,-0.36
311.3,9.994,-395.2,-0.75
311.85,10.012,-389.1,0.26
312.4,10.029,-388.7,0.32
312.95,10.047,-391.8,-0.2
313.5,10.065,-388.8,0.29
314.05,10.083,-397.7,-1.18
314.6,10.101,-390.4,0.02
315.15,10.117,-382.1,1.39
315.7,10.134,-387.9,0.43
316.25,10.151,-390.6,-0.02
316.8,10.169,-393.3,-0.47
317.35,10.187,-388.1,0.38
317.9,10.205,-391.6,-0.2
318.45,10.222,-396.9,-1.08
319,10.241,-398.7,-1.38
319.55,10.259,-386.6,0.61
320.1,10.278,-390.7,-0.07
320.65,10.295,-391.2,-0.15
321.2,10.313,-389.5,0.12
321.75,10.331,-400.9,-1.76
322.3,10.35,-388.6,0.26
322.85,10.369,-397.9,-1.27
323.4,10.388,-393,-0.47
323.95,10.407,-394.4,-0.71
324.5,10.426,-399.4,-1.53
325.05,10.445,-388.2,0.31
325.6,10.462,-386.8,0.53
326.15,10.479,-383,1.16
326.7,10.495,-387.5,0.41
327.25,10.511,-390.1,-0.02
327.8,10.527,-377.1,2.12
328.35,10.543,-397.4,-1.23
328.9,10.562,-390.6,-0.12
329.45,10.58,-393.2,-0.55
330,10.599,-395.2,-0.88
330.55,10.618,-393.7,-0.64
331.1,10.637,-392.9,-0.51
331.65,10.655,-391.4,-0.27
332.2,10.673,-384.5,0.86
332.75,10.691,-394.4,-0.77
333.3,10.708,-394.8,-0.84
333.85,10.727,-395.8,-1.01
334.4,10.746,-396.2,-1.08
334.95,10.766,-395.4,-0.96
335.5,10.784,-391.7,-0.35
336.05,10.803,-390.9,-0.22
336.6,10.821,-388,0.25
337.15,10.838,-392.6,-0.51
337.7,10.856,-397.7,-1.36
338.25,10.875,-394.3,-0.8
338.8,10.895,-391.4,-0.33
339.35,10.913,-387.7,0.28
339.9,10.931,-395.2,-0.96
340.45,10.949,-400.3,-1.81
341,10.969,-393.3,-0.66
341.55,10.989,-390,-0.12
342.1,11.006,-390.9,-0.27
342.65,11.024,-387.4,0.3
343.2,11.042,-389.7,-0.08
343.75,11.06,-398,-1.45
344.3,11.079,-396.1,-1.14
344.85,11.098,-392,-0.47
345.4,11.117,-397.7,-1.41
345.95,11.136,-398.9,-1.62
346.5,11.157,-394.7,-0.93
347.05,11.175,-386.8,0.37
347.6,11.192,-385.8,0.53
348.15,11.209,-387.9,0.18
348.7,11.228,-390.7,-0.29
349.25,11.246,-402,-2.15
349.8,11.265,-392.6,-0.61
350.35,11.283,-390.8,-0.32
350.9,11.302,-394.6,-0.95
351.45,11.319,-381,1.29
352,11.336,-382.1,1.11
352.55,11.354,-399.5,-1.77
353.1,11.373,-393.5,-0.78
353.65,11.392,-398.4,-1.59
354.2,11.411,-393.4,-0.77
354.75,11.43,-390.9,-0.37
355.3,11.448,-386.1,0.42
355.85,11.465,-387.8,0.14
356.4,11.482,-383.8,0.79
356.95,11.499,-386.9,0.28
357.5,11.516,-393,-0.73
358.05,11.535,-396.6,-1.33
358.6,11.554,-394.1,-0.92
359.15,11.573,-395.5,-1.16
359.7,11.593,-395.4,-1.15
360.25,11.612,-389.6,-0.19
360.8,11.631,-394.8,-1.05
361.35,11.649,-388.3,0.01
361.9,11.667,-394.8,-1.06
362.45,11.686,-387.9,0.07
363,11.704,-396.1,-1.29
363.55,11.723,-391.3,-0.5
364.1,11.742,-393.6,-0.88
364.65,11.76,-387.8,0.07
365.2,11.779,-396.1,-1.3
365.75,11.798,-403.2,-2.48
366.3,11.82,-399.4,-1.85
366.85,11.841,-400.8,-2.09
367.4,11.863,-399.4,-1.86
367.95,11.884,-400.9,-2.11
368.5,11.905,-399.2,-1.84
369.05,11.927,-404.9,-2.78
369.6,11.949,-404,-2.64
370.15,11.972,-398.2,-1.69
370.7,11.993,-400,-1.99
371.25,12.014,-399.8,-1.96
371.8,12.037,-406.2,-3.02
372.35,12.059,-403.5,-2.57
372.9,12.082,-405.5,-2.91
373.45,12.106,-414.8,-4.44
374,12.131,-406.2,-3.03
374.55,12.156,-405.8,-2.97
375.1,12.181,-410.9,-3.81
375.65,12.205,-403.7,-2.63
376.2,12.227,-400.6,-2.12
376.75,12.25,-409.6,-3.61
377.3,12.273,-401.2,-2.23
377.85,12.297,-413.3,-4.23
378.4,12.324,-414.3,-4.4
378.95,12.35,-408.8,-3.49
379.5,12.376,-417.4,-4.91
380.05,12.402,-406.8,-3.17
380.6,12.427,-404.3,-2.76
381.15,12.452,-412.4,-4.1
381.7,12.477,-412.6,-4.14
382.25,12.503,-410.9,-3.86
382.8,12.53,-420.8,-5.5
383.35,12.559,-417.2,-4.91
383.9,12.588,-418.8,-5.17
384.45,12.617,-415.6,-4.65
385,12.646,-418.6,-5.15
385.55,12.673,-410.9,-3.88
386.1,12.7,-413.7,-4.35
386.65,12.727,-412.7,-4.19
387.2,12.754,-419.3,-5.28
387.75,12.784,-420.8,-5.53
388.3,12.813,-412.1,-4.1
388.85,12.841,-416,-4.74
389.4,12.867,-408.8,-3.56
389.95,12.894,-413.9,-4.41
390.5,12.922,-416.4,-4.82
391.05,12.95,-417.7,-5.04
391.6,12.978,-414.9,-4.58
392.15,13.005,-410.4,-3.85
392.7,13.032,-411.6,-4.05
393.25,13.059,-415,-4.61
393.8,13.087,-418.4,-5.17
394.35,13.115,-415.5,-4.7
394.9,13.143,-412.9,-4.27
395.45,13.17,-408,-3.47
396,13.196,-410.8,-3.94
396.55,13.222,-414.8,-4.6
397.1,13.249,-408.7,-3.6
397.65,13.275,-408.5,-3.57
398.2,13.3,-411.8,-4.12
398.75,13.327,-412.8,-4.28
399.3,13.354,-419,-5.31
399.85,13.383,-417.5,-5.06
400.4,13.412,-414,-4.49
400.95,13.44,-416.6,-4.92
401.5,13.468,-410.8,-3.97
402.05,13.495,-403.4,-2.76
402.6,13.52,-413.7,-4.46
403.15,13.546,-410.2,-3.88
403.7,13.572,-415.9,-4.83
404.25,13.6,-416.8,-4.98
404.8,13.629,-417.3,-5.06
405.35,13.658,-417.1,-5.03
405.9,13.687,-411.9,-4.18
406.45,13.715,-415.5,-4.78
407,13.742,-413.4,-4.43
407.55,13.77,-405,-3.06
408.1,13.796,-417.2,-5.07
408.65,13.822,-405.5,-3.15
409.2,13.848,-414.3,-4.6
409.75,13.875,-414.8,-4.68
410.3,13.903,-412,-4.23
410.85,13.93,-407.5,-3.49
411.4,13.956,-403.4,-2.82
411.95,13.979,-402.3,-2.64
412.5,14.002,-405.9,-3.24
413.05,14.028,-410.4,-3.98
413.6,14.053,-410.8,-4.05
414.15,14.08,-413.4,-4.48
414.7,14.106,-406,-3.27
415.25,14.131,-402.6,-2.71
415.8,14.156,-404.3,-3
416.35,14.18,-406.9,-3.43
416.9,14.205,-411.2,-4.14
417.45,14.23,-392.2,-1.02
418,14.252,-397.7,-1.93
418.55,14.273,-399.1,-2.16
419.1,14.295,-402.3,-2.69
419.65,14.318,-401.1,-2.5
420.2,14.341,-403.9,-2.96
420.75,14.364,-401.2,-2.52
421.3,14.39,-418.2,-5.32
421.85,14.417,-408.8,-3.78
422.4,14.442,-402.3,-2.71
422.95,14.467,-411.1,-4.17
423.5,14.493,-411.1,-4.17
424.05,14.52,-407.3,-3.55
424.6,14.547,-413.6,-4.59
425.15,14.574,-411.2,-4.2
425.7,14.601,-418.6,-5.42
426.25,14.631,-415.7,-4.94
426.8,14.66,-411.3,-4.22
427.35,14.688,-416.2,-5.03
427.9,14.716,-412.6,-4.44
428.45,14.744,-407.6,-3.62
429,14.77,-410.1,-4.04
429.55,14.796,-411.6,-4.29
430.1,14.823,-407.5,-3.62
430.65,14.85,-409.9,-4.02
431.2,14.876,-411.3,-4.25
431.75,14.904,-419,-5.52
432.3,14.933,-399.4,-2.3
432.85,14.959,-413,-4.54
433.4,14.984,-416.4,-5.1
433.95,15.014,-416.3,-5.09
434.5,15.042,-410,-4.05
435.05,15.07,-410.7,-4.17
435.6,15.097,-412.7,-4.5
436.15,15.125,-411.8,-4.36
436.7,15.153,-414.2,-4.76
437.25,15.182,-416.6,-5.16
437.8,15.211,-420,-5.72
438.35,15.242,-418.5,-5.47
438.9,15.273,-419.6,-5.66
439.45,15.304,-418.7,-5.51
440,15.335,-420.1,-5.74
440.55,15.366,-419.8,-5.7
441.1,15.397,-414,-4.75
441.65,15.427,-416.2,-5.11
442.2,15.457,-417.6,-5.35
442.75,15.487,-421.6,-6.01
443.3,15.518,-416.6,-5.19
443.85,15.549,-423.8,-6.37
444.4,15.581,-414.2,-4.8
444.95,15.612,-417.8,-5.39
445.5,15.642,-416.9,-5.25
446.05,15.672,-419.1,-5.61
446.6,15.703,-417.3,-5.32
447.15,15.734,-419.1,-5.62
