Depth ice/snow [m],Gas age [ka BP],δ18O-O2 [‰]
2333.65,248.7956,0.7113
2334.75,249.0981,0.7639
2335.3,249.2569,0.7343
2336.4,249.5848,0.8106
2337.5,249.935,0.7735
2338.6,250.3175,0.7789
2339.15,250.5223,0.7898
2340.25,250.9434,0.7238
2341.9,251.5878,0.7241
2343,251.9984,0.8426
2343.55,252.2012,0.7401
2344.1,252.4163,0.7308
2344.65,252.6335,0.7262
2345.75,253.0541,0.7529
2346.85,253.4548,0.7857
2347.95,253.8603,0.6324
2348.5,254.0711,0.6247
2349.6,254.477,0.6164
2349.62,254.4842,0.6206
2350.15,254.6749,0.5075
2351.11,255.0264,0.6131
2351.25,255.0787,0.4937
2351.88,255.3256,0.586
2352.35,255.5077,0.389
2352.87,255.7051,0.5767
2353.45,255.9314,0.3732
2354,256.1475,0.5091
2354.55,256.3626,0.4337
2355.65,256.7941,0.3282
2356.75,257.1902,0.223
2357.85,257.5653,0.3513
2358.92,257.9135,0.5057
2358.95,257.923,0.1419
2360.05,258.2699,0.1751
2361.15,258.5866,0.248
2362.25,258.9193,0.1717
2363.35,259.2704,0.1927
2364.42,259.648,0.4245
2364.45,259.6592,0.2836
2365.55,260.0956,0.348
2366.65,260.5249,0.1367
2367.75,260.9233,0.2114
2368.85,261.3667,0.2279
2369.95,261.8417,0.2099
2370.47,262.0454,0.3061
2372.15,262.6808,0.2768
2373.25,263.1155,0.2155
2374.35,263.537,0.215
2375.45,263.9659,0.22
2376.52,264.3781,0.4243
2376.55,264.3901,0.2699
2377.65,264.7861,0.431
2378.75,265.1694,0.3916
2379.85,265.5711,0.4603
2380.95,265.9842,0.4595
2382.05,266.3862,0.463
2383.15,266.8019,0.3904
2385.35,267.6271,0.5045
2386.45,268.0728,0.4301
2386.97,268.2849,0.6059
2387.55,268.5111,0.5224
2388.65,268.9375,0.466
2389.75,269.3972,0.5415
2390.85,269.8583,0.5105
2391.92,270.3089,0.6736
2391.95,270.3216,0.534
2393.05,270.7974,0.5504
2394.15,271.2899,0.4634
2395.25,271.7925,0.5358
2396.32,272.274,0.6908
2396.35,272.2875,0.608
2397.45,272.7643,0.5798
2398.55,273.2628,0.6123
2399.65,273.742,0.566
2400.75,274.2123,0.5454
2401.27,274.4293,0.6929
2401.85,274.6679,0.5282
2402.95,275.1098,0.5978
2404.05,275.542,0.5205
2405.15,275.9728,0.5145
2406.22,276.3978,0.7137
2406.25,276.4098,0.4598
2407.35,276.8495,0.6111
2408.45,277.3062,0.5931
2409.55,277.7707,0.5658
2410.65,278.1837,0.5367
2411.17,278.3826,0.7698
2411.75,278.6134,0.6212
2412.85,279.0604,0.5513
2413.95,279.5205,0.5586
2415.05,279.9272,0.4079
2416.15,280.3243,0.5005
2416.67,280.5164,0.6326
2417.25,280.7435,0.4451
2418.35,281.1376,0.4059
2419.45,281.5399,0.4267
2420.55,281.9253,0.504
2421.65,282.2735,0.2539
2422.75,282.5858,0.4628
2423.85,282.922,0.4047
