# NOAA Paleoclimatology Program - Paleocean Site Data
# odp846l6-tab.txt
# Complete Data
# File Created: 31-Jan-2007
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Kira T. Lawrence
# Core/Site:      ODP846
# Latitude:       3.05.42S	( -3.095)
# Longitude:      90.49.06W	( -90.81833)
# Water Depth(m): 3296
#
# Publications:
#   Lawrence, K.T., Z. Liu and T.D. Herbert. 2006. Evolution of the Eastern Tropical
#     Pacific Through Plio-Pleistocene Glaciation. Science, 312, 79-83.
#------------------
#
# Description & Notes:
#   Eastern Equatorial Pacific 5 Myr Alkenone SST and Paleoproductivity Reconstruction ( ODP846 )
#   
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             c37nmol       C37 alkenone abundance (nmol/g)
#             sst-uk37      Sea Surface Temperature from Uk'37
#
# CORE: ODP846
depth	yrBP 	c37nmol	sst-uk37	notes
1493	381828.9	7.91	23.1	846C 2H-3 45-46
1504	385145.5	13.96	23.3	846C 2H-3 55-56
1516	388468.3	11.21	22.6	846C 2H-3 65-66
1531	392277.3	11.38	22.2	846C 2H-3 75-76
1540	394545.6	8.89	22.3	846D 2H-1 6-7
1545	395800	7.02	22.7	846C 2H-3 85-86
1550	397056	4.65	23.1	846D 2H-1 15-16
1558	399075	5.31	23.4	846C 2H-3 95-96
1561	399830	5.4	23.9	846D 2H-1 25-26
1568	401589.1	4.95	23.7	846C 2H-3 105-106
1572	402596.4	5.96	24	846D 2H-1 35-36
1578	404107.3	6.66	23.7	846C 2H-3 115-116
1583	405366.4	6.34	23.3	846D 2H-1 45-46
1588	406758	7.92	23.2	846C 2H-3 125-126
1593	408238	6.36	23.1	846D 2H-1 55-56
1598	409776.4	4.79	23.4	846C 2H-3 135-136
1604	411669.1	4.17	23.3	846D 2H-1 65-66
1608	413065.5	4.99	23.2	846C 2H-3 145-146
1615	415744.5	4.99	23.3	846D 2H-1 75-76
1625	419414	4.79	23.3	846D 2H-1 85-86
1639	423482.9	5.18	22.2	846D 2H-2 6-7
1649	426280	4.68	21.5	846D 2H-2 15-16
1659	429376	3.95	20.7	846D 2H-2 25-26
1669	432410	3.42	21.1	846D 2H-2 35-36
1680	435701.8	3.27	21	846D 2H-2 45-46
1690	437924	3.6	20.7	846D 2H-2 55-56
1700	439754	2.77	20.6	846D 2H-2 65-66
1709	441230	2.9	20.7	846D 2H-2 75-76
1719	442946	2.87	21.2	846D 2H-2 85-86
1729	444691	2.82	21	846D 2H-2 95-96
1739	446360	2.34	20.9	846D 2H-2 105-106
1749	447730	3.02	20.9	846D 2H-2 115-116
1759	449022	3.4	21.2	846D 2H-2 125-126
1769	450312	3.02	21.1	846D 2H-2 135-136
1779	451730.5	2.28	21.4	846D 2H-2 145-146
1788	452762.1	2.44	21.2	846D 2H-3 6-7
1798	454074.3	3.86	20.9	846D 2H-3 15-16
1808	455708.6	2.26	21	846D 2H-3 25-26
1818	457604	2.1	21.1	846D 2H-3 35-36
1828	459622	2.46	21.4	846D 2H-3 45-46
1839	462050.9	2.76	21.2	846D 2H-3 55-56
1849	464460	2.98	21.2	846D 2H-3 65-66
1859	467374	3.01	21.3	846D 2H-3 75-76
1869	470588	4.08	22.3	846D 2H-3 85-86
1879	473816	6.12	22.6	846D 2H-3 95-96
1889	477028	5.31	21.9	846D 2H-3 105-106
1903	482084.3	4.51	22.5	846D 2H-4  6-7
1913	485644	2.89	23	846D 2H-4  15-16
1923	488990	2.7	23.4	846D 2H-4  25-26
1933	491930	2.91	23.6	846D 2H-4  35-36
1943	494604	2.94	23.4	846D 2H-4  45-46
1953	497410	3.52	22.8	846D 2H-4  55-56
1963	500260	2.61	23	846D 2H-4  65-66
1973	503110	2.85	22.8	846D 2H-4  75-76
1983	505512	3.66	22.4	846D 2H-4  85-86
1985	505970	3.66	22.5	846B 3H-1 115-116
1993	507802	3.92	22.5	846D 2H-4  95-96
1995	508260	2.85	22.4	846B 3H-1 125-126
2003	510084	3.72	22.3	846D 2H-4  105-106
2005	510540	3.01	22.3	846B 3H-1 135-136
2013	512404	2.91	22.5	846D 2H-4  115-116
2015	512870	2.75	22.5	846B 3H-1 145-146
2023	515670	2.68	22.6	846D 2H-4  125-126
2025	516370	2.51	22.7	846B 3H-2 6-7
2033	519552.5	2.71	23.2	846B 3H-2 15-16
2034	519956.2	2.73	23.1	846B 3H-2 15-16
2035	520360	2.74	22.8	846D 2H-4  135-136
2042	523492.5	4.14	22.6	846B 3H-2 25-26
2050	527177.5	4.55	22.1	846B 3H-2 35-36
2059	531352	5.75	21.6	846B 3H-2 45-46
2068	535165.6	8.1	20.8	846B 3H-2 55-56
2077	538580	7.17	20.6	846B 3H-2 65-66
2089	542836	6.03	20.9	846B 3H-2 75-76
2104	547464.7	5.65	21.3	846B 3H-2 85-86
2119	551632	7.72	21.5	846B 3H-2 95-96
2134	555381.2	6.24	21.8	846B 3H-2 105-106
2145	558528.9	9.02	21.6	846B 3H-2 115-116
2158	562736.7	8.33	21.9	846B 3H-2 125-126
2161	563736.7	8.86	22.5	846B 3H-2 135-136
2167	565745	9.72	22.1	846B 3H-2 145-146
2174	568082.5	9.95	22.4	846B 3H-3 6-7
2181	570171.4	8.88	22.5	846B 3H-3 15-16
2189	572188.6	9.46	22.7	846B 3H-3 25-26
2201	575080	5.9	23.6	846B 3H-3 35-36
2213	577968.6	5.33	23.7	846B 3H-3 45-46
2226	581098.5	11.05	22.3	846B 3H-3 55-56
2237	583906.2	15.71	22.7	846B 3H-3 65-66
2249	587757.8	12.38	22.2	846B 3H-3 75-76
2258	591406	12.23	23.3	846B 3H-3 85-86
2267	595534	10.67	23.2	846B 3H-3 95-96
2276	599567.5	7.77	22.7	846B 3H-3 105-106
2285	604492.2	9.81	23.1	846B 3H-3 115-116
2293	609302.5	4.92	22.6	846B 3H-3 125-126
2300	613561.7	3.77	23.5	846B 3H-3 135-136
2308	618228.3	4.56	22.5	846B 3H-3 145-146
2317	621166.2	5.66	23.3	846B 3H-4 6-7
2325	623847.5	8.86	22.2	846B 3H-4 15-16
2333	626273.3	4.85	21.7	846B 3H-4 25-26
2341	628371.1	8.66	21.5	846B 3H-4 35-36
2350	629995	6.97	21.4	846B 3H-4 45-46
2359	631416.7	8.87	21.2	846B 3H-4 55-56
2369	632888.2	7.4	21.3	846B 3H-4 65-66
2380	634602.9	8.33	21.3	846B 3H-4 75-76
2391	636547.1	9.07	21.4	846B 3H-4 85-86
2401	638340.9	8.36	21.5	846B 3H-4 95-96
2411	640220	12.42	21.5	846B 3H-4 105-106
2421	642220	10.15	21.5	846B 3H-4 115-116
2431	644210	10.72	21.7	846B 3H-4 125-126
2440	646010	8.97	21.5	846B 3H-4 135-136
2450	648125	10.54	22.1	846B 3H-4 145-146
2459	650487.5	9.91	21.8	846B 3H-5  6-7
2469	653204.5	10.95	22.2	846B 3H-5  15-16
2479	655928.6	17.89	22.6	846B 3H-5  25-26
2481	656474.3	11.33	22.1	846C 3H-1 25-26
2486	657836	10.75	22.2	846C 3H-1 35-36
2492	659473.3	14.36	22.4	846C 3H-1 45-46
2499	661405.7	16.23	22.5	846C 3H-1 55-56
2505	663126.7	13.57	22.3	846D 3H-1 45-46
2507	663710	16.42	22.7	846C 3H-1 65-66
2517	666617.3	12.19	23	846C 3H-1 75-76
2518	666908.2	15.38	22.7	846D 3H-1 55-56
2527	669527	14.88	22.9	846C 3H-1 85-86
2528	669818	11.35	22.9	846D 3H-1 65-66
2534	671560	17.8	23.1	846D 3H-1 75-76
2537	672462.5	16.46	23.5	846C 3H-1 95-96
2541	673846.7	12.21	23	846D 3H-1 95-96
2544	675693.3	14.12	23.1	846C 3H-1 105-106
2547	676710	7.18	23.1	846D 3H-1 115-116
2551	679000	4.78	23.5	846D 3H-1 125-126
2557	683534	10.16	23.3	846C 3H-1 115-116
2567	690077.9	8.07	23.3	846C 3H-1 125-126
2577	696442.1	5.15	23.4	846C 3H-1 135-136
2578	697078.6	4.83	23.7	846D 3H-1 145-146
2587	702806.4	5.69	23.5	846C 3H-1 145-146
2598	709807.1	7.43	23.4	846D 3H-2  6-7
2622	718706.7	10.59	22.2	846D 3H-2  15-16
2631	721017.8	14.65	21.8	846D 3H-2  25-26
2637	722300	14.29	22	846D 3H-2  35-36
2642	723334	13.11	21.8	846D 3H-2  45-46
2647	724440	10.34	22.9	846D 3H-2  55-56
2655	726280	6.76	22.7	846D 3H-2  65-66
2669	729448.6	9.97	23	846D 3H-2  75-76
2705	737228.9	15.95	22.4	846D 3H-2  85-86
