# NOAA Paleoclimatology Program - Paleocean Site Data
# odp846l6-tab.txt
# Complete Data
# File Created: 31-Jan-2007
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Kira T. Lawrence
# Core/Site:      ODP846
# Latitude:       3.05.42S	( -3.095)
# Longitude:      90.49.06W	( -90.81833)
# Water Depth(m): 3296
#
# Publications:
#   Lawrence, K.T., Z. Liu and T.D. Herbert. 2006. Evolution of the Eastern Tropical
#     Pacific Through Plio-Pleistocene Glaciation. Science, 312, 79-83.
#------------------
#
# Description & Notes:
#   Eastern Equatorial Pacific 5 Myr Alkenone SST and Paleoproductivity Reconstruction ( ODP846 )
#   
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             c37nmol       C37 alkenone abundance (nmol/g)
#             sst-uk37      Sea Surface Temperature from Uk'37
#
# CORE: ODP846
depth	yrBP 	c37nmol	sst-uk37	notes
7913	2077564	25.34	21.6	846B 8H-4 43-44
7922.7	2080705	59.88	21.4	846D 8H-1 73-74
7933	2084106	45.08	21.5	846D 8H-1 83-84
7943	2087442	29.55	22.1	846D 8H-1 93-94
7950	2089781	22.48	22	846D 8H-1 103-104
7955	2091451	10.58	22.9	846D 8H-1 113-114
7961	2093453	15.58	22.6	846D 8H-1 123-124
7967	2095460	17.48	22.8	846D 8H-1 133-134
7971.6	2097035	18.96	22.2	846D 8H-1 143-144
7978	2099330	21.09	22	846D 8H-2 3-4
7983.7	2101404	18.36	22.6	846D 8H-2 13-14
7992	2104423	17.97	22.9	846D 8H-2 23-24
8001	2107585	16.9	23.2	846D 8H-2 33-34
8011	2111008	15.8	23.3	846D 8H-2 43-44
8022	2114750	18.56	22.9	846D 8H-2 53-54
8033	2118531	20.04	22.7	846D 8H-2 63-64
8043	2122180	20.79	23	846D 8H-2 73-74
8053	2125880	18.17	23.6	846D 8H-2 83-84
8063	2129580	12.78	24.3	846D 8H-2 93-94
8073	2133288	12.25	24.1	846D 8H-2 103-104
8083	2136990	10.2	24.4	846D 8H-2 113-114
8093	2140690	9.78	23.9	846D 8H-2 123-124
8103	2143710	14.83	23.2	846D 8H-2 133-134
8114	2146154	16.74	22.6	846D 8H-2 143-144
8123	2148009	14.33	22.8	846D 8H-3 3-4
8133	2150060	25.15	22	846D 8H-3 13-14
8143	2152118	18.07	22.5	846D 8H-3 23-24
8153	2154170	28.23	21.7	846D 8H-3 33-34
8163	2156220	26.35	22.4	846D 8H-3 43-44
8173	2158278	20.37	22.5	846D 8H-3 53-54
8183	2160330	28.49	21.2	846D 8H-3 63-64
8193	2162388	24.81	21.8	846D 8H-3 73-74
8203	2164440	21.71	22.4	846D 8H-3 83-84
8213	2166498	17.24	22.7	846D 8H-3 93-94
8222.5	2168455	16.36	23	846D 8H-3 103-104
8232	2170518	14.32	23	846D 8H-3 113-114
8242	2173088	12.37	23.5	846D 8H-3 123-124
8252	2175748	10.23	24.1	846D 8H-3 133-134
8262	2178408	10.74	24.3	846D 8H-3 143-144
8273	2181346	8.08	24.9	846D 8H-4 3-4
8283	2183952	7.98	24.7	846D 8H-4 13-14
8304	2188695	10.61	24.7	846D 8H-4 33-34
8313	2190696	12.41	24.9	846D 8H-4 43-44
8323	2192964	14.72	24.8	846D 8H-4 53-54
8333	2195476	20.11	25.1	846D 8H-4 63-64
8343	2198046	17.1	24.8	846D 8H-4 73-74
8353	2200624	14.78	24.6	846D 8H-4 83-84
8363	2203180	13.36	24.7	846D 8H-4 93-94
8373	2206042	13.15	24.6	846D 8H-4 103-104
8383	2209022	10.49	24.9	846D 8H-4 113-114
8393	2212020	9.23	25.1	846D 8H-4 123-124
8404	2215279	12.31	25	846D 8H-4 133-134
8413	2217908	13.06	24.7	846D 8H-4 143-144
8423	2220826	14.2	24.6	846D 8H-5 3-4
8433	2223658	15.65	24.3	846D 8H-5 13-14
8443	2226084	6.44	25.1	846D 8H-5 23-24
8453	2228422	8.38	25	846D 8H-5 33-34
8463	2230746	7.56	25.1	846D 8H-5 43-44
8473	2233186	7.96	24.9	846D 8H-5 53-54
8483	2235624	9.43	24.7	846D 8H-5 63-64
8493	2237702	12.85	24.5	846D 8H-5 73-74
8503	2239692	14.32	24.5	846D 8H-5 83-84
8513	2241690	14.96	24.2	846D 8H-5 93-94
8523	2243682	21.22	24	846D 8H-5 103-104
8533	2245680	17.78	23.8	846D 8H-5 113-114
8543	2247680	14.22	23.8	846D 8H-5 123-124
8553	2249680	11.03	23.9	846D 8H-5 133-134
8563.1	2251692	10.41	24.5	846D 8H-5 143-144
8574	2254214	12.15	24.1	846D 8H-6 3-4
8583	2256876	10.95	24.8	846D 8H-6 13-14
8593	2259988	10.3	25.3	846D 8H-6 23-24
8603	2263106	8.65	25.2	846D 8H-6 33-34
8613	2266226	8.5	25.1	846D 8H-6 43-44
8622	2269028	9.39	25	846D 8H-6 53-54
8633	2272457	12.51	24.3	846D 8H-6 63-64
8643	2275488	14.11	23.8	846D 8H-6 73-74
8653	2278082	11.48	23.9	846D 8H-6 83-84
8663	2280572	9.32	24.2	846D 8H-6 93-94
8674	2283320	15.33	23.6	846D 8H-6 103-104
8683	2285570	14.58	23.3	846D 8H-6 113-114
8693	2287998	13.27	23.8	846D 8H-6 123-124
8703	2290384	15.64	24.1	846D 8H-6 133-134
8713	2292772	13.06	24.9	846D 8H-6 143-144
8723	2295162	12.57	24.8	846D 8H-7 3-4
8733	2297576	13.5	24.7	846D 8H-7 13-14
8743	2299996	11.74	24.9	846D 8H-7 23-24
8753	2302872	12.12	24.8	846D 8H-7 33-34
8763	2305854	12.93	24.7	846D 8H-7 43-44
8768	2307347	11.54	24.9	846B 9H-3 103-104
8774	2309141	11.32	24.7	846D 8H-7 53-54
8778	2310335	11.2	24.8	846B 9H-3 113-114
8783	2311826	10.97	24.5	846D 8H-7 63-64
8788	2313318	12.62	24.6	846B 9H-3 123-124
8793	2314811	13.73	24.1	846D 8H-7 73-74
8798	2316305	12.62	24.4	846B 9H-3 133-134
8808	2319285	11.9	24.3	846B 9H-3 143-144
8818	2321840	13.54	24.3	846B 9H-4 3-4
8828	2323858	11.14	24.4	846B 9H-4 13-14
8837	2325601	9.73	24.7	846B 9H-4 23-24
8848	2327757	8.58	24.4	846B 9H-4 33-34
8858	2329726	8.42	24.4	846B 9H-4 43-44
8859.5	2330022	9.06	23.8	846D 9H-1 53-54
8868	2331689	10.83	24	846B 9H-4 53-54
8873.5	2332769	10.07	23.6	846D 9H-1 63-64
8878	2333669	8.5	24	846B 9H-4 63-64
8887.5	2335609	10.86	23.7	846D 9H-1 73-74
8888	2335712	10.58	23.5	846B 9H-4 73-74
8898	2337807	11.84	24	846B 9H-4 83-84
8900	2338228	10.66	24	846D 9H-1 83-84
8912	2340758	10.24	24.4	846D 9H-1 93-94
8923.7	2343225	8.03	25	846D 9H-1 103-104
8935	2345608	9.41	24.5	846D 9H-1 113-114
8945	2347774	10.42	24.5	846D 9H-1 123-124
8956	2350575	10.05	24.5	846D 9H-1 133-134
8965	2352951	8.32	24.1	846D 9H-1 143-144
8975	2355592	9.43	24.2	846D 9H-2 3-4
8985	2358224	11.87	24.1	846D 9H-2 13-14
8994	2360601	9.95	24.5	846D 9H-2 23-24
9004	2363226	12.81	24.5	846D 9H-2 33-34
9013	2365601	14.7	24.6	846D 9H-2 43-44
9022.5	2367915	12.11	24.4	846D 9H-2 53-54
9032	2370159	10.59	24.7	846D 9H-2 63-64
9042	2372510	8.21	24.4	846D 9H-2 73-74
9051	2374621	6.98	24.7	846D 9H-2 83-84
9062	2377168	3.98	24.8	846D 9H-2 93-94
9072	2379126	7.54	24.9	846D 9H-2 103-104
9082	2381004	7.63	25.1	846D 9H-2 113-114
9093	2383066	8.75	24.9	846D 9H-2 123-124
9103	2384944	8.07	25	846D 9H-2 133-134
9113.1	2386835	8.33	25	846D 9H-2 143-144
9124	2388884	8.79	24.6	846D 9H-3 3-4
9133	2390575	8.31	24.5	846D 9H-3 13-14
9143	2392446	9.66	24.2	846D 9H-3 23-24
9153	2394620	10.23	24.3	846D 9H-3 33-34
9163	2396934	10.18	24.3	846D 9H-3 43-44
9173	2399264	10.03	24.4	846D 9H-3 53-54
9183	2401546	10.68	24.6	846D 9H-3 63-64
9193	2403816	6.5	24.8	846D 9H-3 73-74
9203	2406078	10.58	24.4	846D 9H-3 83-84
9213	2408346	7.12	25	846D 9H-3 93-94
9223	2410616	5.3	25.2	846D 9H-3 103-104
9233	2412886	5.86	25.1	846D 9H-3 113-114
9243	2415156	6.03	25.1	846D 9H-3 123-124
9253	2417426	6.53	25.4	846D 9H-3 133-134
9263	2419688	6.76	25.1	846D 9H-3 143-144
9273	2421596	10.95	24.5	846D 9H-4 3-4
9283	2423568	15.88	23.6	846D 9H-4 13-14
9293	2425586	22.4	22.6	846D 9H-4 23-24
9303	2427598	20.76	22.8	846D 9H-4 33-34
9314	2429817	22.54	22.8	846D 9H-4 43-44
9324	2431876	15.11	23.3	846D 9H-4 53-54
9334	2434218	20.45	22.9	846D 9H-4 63-64
9344	2436636	21.14	22.8	846D 9H-4 73-74
9354	2439048	31.44	22.8	846D 9H-4 83-84
9364	2441466	29.7	22.7	846D 9H-4 93-94
9373	2443486	25.48	22.9	846D 9H-4 103-104
9383	2445681	27.67	23.1	846D 9H-4 113-114
9393	2447728	24.45	23.3	846D 9H-4 123-124
9403	2449738	15.59	23.7	846D 9H-4 133-134
9412	2451556	21.16	23.9	846D 9H-4 143-144
9422	2453568	21.12	23.8	846D 9H-5 3-4
9432	2455666	14.97	24.2	846D 9H-5 13-14
9442	2458154	8.04	23.8	846D 9H-5 23-24
9453	2460994	7.61	25	846D 9H-5 33-34
9463	2463574	8.46	25	846D 9H-5 43-44
9473	2466154	6.82	25.2	846D 9H-5 53-54
9484	2469133	6.12	25.3	846D 9H-5 63-64
9494	2472264	6.19	25.2	846D 9H-5 73-74
9504	2475470	6.52	24.8	846D 9H-5 83-84
9514	2478638	8.93	24.8	846D 9H-5 93-94
9524	2481310	23.49	24.7	846D 9H-5 103-104
9533	2483236	32.33	24.4	846D 9H-5 113-114
9543	2485264	29.68	24.2	846D 9H-5 123-124
9552	2487093	34.63	24.1	846D 9H-5 133-134
9561	2488916	27	24.2	846D 9H-5 143-144
9570.4	2491022	17.61	23.6	846D 9H-6 3-4
9579.7	2493323	15.9	23.8	846D 9H-6 13-14
9589.1	2495675	9.72	24.1	846D 9H-6 23-24
9598.4	2497985	7.59	24.5	846D 9H-6 33-34
9607.8	2500315	6.12	24.9	846D 9H-6 43-44
9615	2502082	6.19	25.5	846C 9H-5 43-44
9617.2	2502620	6.65	25.3	846D 9H-6 53-54
9625	2504518	6.16	25.5	846C 9H-5 53-54
9626.6	2504907	7.38	25.2	846D 9H-6 63-64
9635	2506957	8.31	25.1	846C 9H-5 63-64
9635.9	2507177	9.37	24.5	846D 9H-6 73-74
9645	2509396	9.51	24.6	846C 9H-5 73-74
9645.4	2509493	12.68	23	846D 9H-6 83-84
9654.7	2511760	11.07	23.4	846D 9H-6 93-94
9655	2511833	14.54	22.9	846C 9H-5 83-84
9664	2513790	12.51	22.9	846D 9H-6 103-104
9665	2514000	11.23	23.1	846C 9H-5 93-94
9674	2515765	19.81	23.2	846D 9H-6 113-114
9675	2515960	12.08	23.2	846C 9H-5 103-104
9684	2517715	23.91	23.5	846D 9H-6 123-124
9687	2518300	17.63	23.1	846C 9H-5 113-114
9694	2519667	28	23.4	846D 9H-6 133-134
9698	2520449	25.11	23.3	846C 9H-5 123-124
9704	2521620	23.45	23.5	846D 9H-6 143-144
9708	2522400	28.9	23.5	846C 9H-5 133-134
9717	2524151	29.21	23.8	846C 9H-5 143-144
9727	2526100	31.11	23.4	846C 9H-6 3-4
9736	2527859	26.86	23.2	846C 9H-6 13-14
9746	2529810	23.33	23	846C 9H-6 23-24
9757	2531959	25.89	23.6	846C 9H-6 33-34
9769	2534325	31.56	24	846C 9H-6 43-44
9779	2536376	39.31	23.9	846C 9H-6 53-54
9789	2538446	29.96	24.3	846C 9H-6 63-64
9798	2540307	21.71	24.6	846C 9H-6 73-74
9808	2542376	14.34	24.6	846C 9H-6 83-84
9820	2544857	10.62	25.1	846C 9H-6 93-94
9833	2547546	6.14	25.5	846C 9H-6 103-104
9849	2550856	9	25.3	846C 9H-6 113-114
9873	2555782	5.89	25.4	846D 10H-1 13-14
9883	2557722	5.57	25.4	846D 10H-1 23-24
9893	2559662	7.46	25.2	846D 10H-1 33-34
9903	2561594	7.86	24.8	846D 10H-1 43-44
9913	2563516	8.46	24.8	846D 10H-1 53-54
9923	2565440	7.44	25	846D 10H-1 63-64
9933	2567365	6.13	24.8	846D 10H-1 73-74
9943	2569294	6.92	25.1	846D 10H-1 83-84
9953	2571216	6.93	25.2	846D 10H-1 93-94
9963	2573144	8.74	25.4	846D 10H-1 103-104
9973	2575074	7.39	25.5	846D 10H-1 113-114
9983	2576996	7.6	25.6	846D 10H-1 123-124
9993	2578924	6.56	25.4	846D 10H-1 133-134
10003	2580846	6.83	25.8	846D 10H-1 143-144
10013	2582774	4.84	25.9	846D 10H-2 3-4
10023	2584696	5.84	26.1	846D 10H-2 13-14
10033	2586520	4.17	26.1	846D 10H-2 23-24
10043	2588264	7.37	25.9	846D 10H-2 33-34
10053	2590002	8.22	25.5	846D 10H-2 43-44
10063	2591734	7.72	25.5	846D 10H-2 53-54
10073	2593464	8.84	25.4	846D 10H-2 63-64
10083	2595194	10.23	25.3	846D 10H-2 73-74
10093	2596932	14.72	25	846D 10H-2 83-84
10103	2598664	49.1	24.4	846D 10H-2 93-94
10113	2600394	51.49	24.2	846D 10H-2 103-104
10123	2602132	47.56	23.8	846D 10H-2 113-114
10133	2603864	36.94	23.8	846D 10H-2 123-124
10143	2605594	28.61	23.8	846D 10H-2 133-134
10153	2607324	14.95	24.5	846D 10H-2 143-144
10163	2609054	8.68	25.3	846D 10H-3 3-4
10173	2610816	8.43	25.4	846D 10H-3 13-14
10183	2612650	6.52	24.8	846D 10H-3 23-24
10193	2614500	7.02	24.9	846D 10H-3 33-34
10203	2616358	7.11	24.7	846D 10H-3 43-44
10213	2618250	5.13	24.8	846D 10H-3 53-54
10223	2620486	5.1	25.3	846D 10H-3 63-64
10233	2623006	6.39	25.2	846D 10H-3 73-74
10243	2625848	5.11	25.2	846D 10H-3 83-84
10253	2628750	5.1	24.9	846D 10H-3 93-94
10263	2631626	5.11	24.9	846D 10H-3 103-104
10273	2634064	7.78	24.5	846D 10H-3 113-114
10283	2636386	10.26	24.3	846D 10H-3 123-124
10293	2638714	12.25	24.2	846D 10H-3 133-134
10303	2641036	20.57	23.8	846D 10H-3 143-144
10313	2643356	18.05	24	846D 10H-4 3-4
10323	2645684	15.67	24.3	846D 10H-4 13-14
10333	2648078	15.54	24.5	846D 10H-4 23-24
10343	2650488	13.49	24.5	846D 10H-4 33-34
10353	2653218	8.82	25.1	846D 10H-4 43-44
10363	2656188	6.65	25.4	846D 10H-4 53-54
10373	2659198	5.93	25.5	846D 10H-4 63-64
10383	2662064	4.92	25.5	846D 10H-4 73-74
10393	2664550	4.78	25.6	846D 10H-4 83-84
10403	2666958	4.73	25.1	846D 10H-4 93-94
10413	2669368	4.39	25.3	846D 10H-4 103-104
10423	2671778	5.31	26	846D 10H-4 113-114
10433	2674188	6.93	25.8	846D 10H-4 123-124
10443	2676438	6.7	25.6	846D 10H-4 133-134
10453	2678416	5.88	25.4	846D 10H-4 143-144
10463	2680344	6.28	25.2	846D 10H-5 3-4
10473	2682266	6.77	25.1	846D 10H-5 13-14
10483	2684114	7.93	25.2	846D 10H-5 23-24
10493	2685872	6.01	25.2	846D 10H-5 33-34
10503	2687612	6.01	25.3	846D 10H-5 43-44
10513	2689344	7.12	24.9	846D 10H-5 53-54
10523	2690948	7.07	24.9	846D 10H-5 63-64
10533	2692501	7.27	25	846D 10H-5 73-74
10543	2694050	6.77	24.9	846D 10H-5 83-84
10553	2695600	7.23	24.5	846D 10H-5 93-94
10563	2697142	9.91	24.1	846D 10H-5 103-104
10573	2698690	10.24	23.9	846D 10H-5 113-114
10583	2700232	13.57	23.7	846D 10H-5 123-124
10592	2701621	11.57	24.1	846D 10H-5 133-134
10602	2703170	15.75	24	846D 10H-5 143-144
10612	2704712	16.62	23.9	846D 10H-6 3-4
10623	2706411	25.44	23.1	846D 10H-6 13-14
10633	2707960	25.08	23.5	846D 10H-6 23-24
10643	2709510	30.9	23.4	846D 10H-6 33-34
10653	2711036	29.22	23.6	846D 10H-6 43-44
10664	2712698	24.68	23.8	846D 10H-6 53-54
10674	2714208	26.88	24	846D 10H-6 63-64
10683	2715576	18.38	24	846D 10H-6 73-74
10693	2717120	19.24	24	846D 10H-6 83-84
10702	2718620	18.77	24.1	846D 10H-6 93-94
10711	2720150	18.1	24.1	846D 10H-6 103-104
10719	2721537	16.2	24.2	846D 10H-6 113-114
10728	2723178	14.16	24.5	846D 10H-6 123-124
10736	2724713	14.25	24.6	846D 10H-6 133-134
10745	2726461	18.17	24.3	846D 10H-6 143-144
10754	2728203	15.1	24.6	846D 10H-7  3-4
10763	2729943	13.91	24.7	846D 10H-7  13-14
10773	2732130	11.89	25.1	846D 10H-7  23-24
10783	2734516	13.23	25.1	846D 10H-7  33-34
10793	2737000	8.6	25.7	846D 10H-7  43-44
10805	2740042	6.91	25.8	846D 10H-7  53-54
10817	2743100	6.71	25.9	846D 10H-7  63-64
10818	2743355	5.89	26.2	846C 10H-5 53-54
10828	2745770	6.38	26.2	846C 10H-5 63-64
10830	2746250	6.22	25.9	846D 10H-7  73-74
10838	2748104	6.26	26.3	846C 10H-5 73-74
10848	2750393	7.61	26.3	846C 10H-5 83-84
10858	2752683	9.37	26.1	846C 10H-5 93-94
10869	2755198	6.57	26.3	846C 10H-5 103-104
10879	2757483	6.39	26.1	846C 10H-5 113-114
10888	2759542	7.82	26.2	846C 10H-5 123-124
10898	2761832	8.42	26	846C 10H-5 133-134
10909	2764340	5.15	25.9	846C 10H-5 145-146
10918	2766402	6.62	25.9	846C 10H-6 3-4
10928	2768684	6.73	25.7	846C 10H-6 13-14
10938	2770844	7.36	25.6	846C 10H-6 23-24
10948	2772974	6.51	25.6	846C 10H-6 33-34
10949	2773187	6.28	25.5	846D 11H-1 13-14
10958	2775102	6.53	25.4	846C 10H-6 43-44
10959	2775315	6.97	25.5	846D 11H-1 23-24
10966	2776812	6.65	25.7	846D 11H-1 33-34
10968	2777240	6.28	25.6	846C 10H-6 53-54
10974	2778515	5.55	25.7	846D 11H-1 43-44
10978	2779368	6.63	25.7	846C 10H-6 63-64
10982	2780223	7.5	25.4	846D 11H-1 53-54
10988	2781500	6.06	25.6	846C 10H-6 73-74
10990	2781925	7.3	25.5	846D 11H-1 63-64
11000	2783998	5.94	25.8	846D 11H-1 73-74
11012	2786260	4.2	25.8	846D 11H-1 83-84
11028	2789220	8.44	25.7	846D 11H-1 93-94
11046	2792995	9.06	25.1	846D 11H-1 103-104
11060	2796189	12.66	25.1	846D 11H-1 113-114
11069	2798283	22.19	24.7	846D 11H-1 123-124
11077	2800483	23.46	24.9	846D 11H-1 133-134
11083	2802213	27.7	25	846D 11H-1 143-144
11088	2803660	25.74	25	846D 11H-2 3-4
11094	2805393	27.62	25.2	846D 11H-2 13-14
11099	2806840	24.49	25.5	846D 11H-2 23-24
11105	2808747	20.34	25.7	846D 11H-2 33-34
11114	2811899	16.98	25.9	846D 11H-2 43-44
11123	2814951	11.45	26	846D 11H-2 53-54
11134	2818500	10.27	26.1	846D 11H-2 63-64
11145	2821636	9.78	26.1	846D 11H-2 73-74
11165	2827482	7.12	26.3	846D 11H-2 93-94
11174	2830053	9.55	26.3	846D 11H-2 103-104
11183	2832378	9.62	26.3	846D 11H-2 113-114
11192	2834420	11.3	25.8	846D 11H-2 123-124
11202	2836468	11.92	25.6	846D 11H-2 133-134
11212	2838478	13.49	25.7	846D 11H-2 143-144
11223	2840688	10.57	25.3	846D 11H-3 3-4
11234	2842841	12.5	25.3	846D 11H-3 13-14
11244	2844734	13.65	25.3	846D 11H-3 23-24
11253	2846432	18.89	25.2	846D 11H-3 33-34
11263	2848314	21.28	25.1	846D 11H-3 43-44
11272	2850012	18.5	25.1	846D 11H-3 53-54
11282	2851894	14.31	25.4	846D 11H-3 63-64
11293	2853964	15.74	25.3	846D 11H-3 73-74
11304	2855887	14.77	25.5	846D 11H-3 83-84
11315	2857744	12.04	25.3	846D 11H-3 93-94
11325	2859512	7.88	25.8	846D 11H-3 103-104
11335	2861238	8.29	25.8	846D 11H-3 113-114
11345	2862940	7.66	26	846D 11H-3 123-124
11354	2864478	7.71	26.1	846D 11H-3 133-134
11363	2866018	8.9	26.1	846D 11H-3 143-144
11373	2867728	11.76	25.7	846D 11H-4 3-4
11382	2869268	9.93	25.7	846D 11H-4 13-14
11392	2870978	13.36	25.2	846D 11H-4 23-24
11402	2872688	14.99	25.1	846D 11H-4 33-34
11413	2874568	23.96	24.8	846D 11H-4 43-44
11423	2876230	24.05	24.9	846D 11H-4 53-54
11433	2877864	26.59	25.1	846D 11H-4 63-64
11443	2879494	29.15	25.1	846D 11H-4 73-74
11454	2881399	21.16	25.1	846D 11H-4 83-84
11464	2883198	18.29	25.4	846D 11H-4 93-94
11474	2885048	10.55	26.1	846D 11H-4 103-104
11484	2886964	14.54	25.8	846D 11H-4 113-114
11494	2888838	15.08	25.7	846D 11H-4 123-124
11503	2890501	14.69	26	846D 11H-4 133-134
11513	2892430	10.3	26.4	846D 11H-4 143-144
11523	2894396	10.01	25.9	846D 11H-5 3-4
11533	2896374	11	25.5	846D 11H-5 13-14
11543	2898346	12.7	25.2	846D 11H-5 23-24
11553	2900324	10.3	25.2	846D 11H-5 33-34
11564	2902455	14.52	25.3	846D 11H-5 43-44
11574	2904376	15.83	25	846D 11H-5 53-54
11583	2906106	14.41	25	846D 11H-5 63-64
11593	2908026	23.21	24.4	846D 11H-5 73-74
11602	2909756	24.43	24.3	846D 11H-5 83-84
11612	2911676	29.67	23.9	846D 11H-5 93-94
11622	2913596	17.05	24.5	846D 11H-5 103-104
11633	2915715	19.15	24.5	846D 11H-5 113-114
11643	2917636	16.69	23.5	846D 11H-5 123-124
11653	2919556	18.85	23.5	846D 11H-5 133-134
11662	2921286	18.03	23.6	846D 11H-5 143-144
11671	2923016	20.93	23.8	846D 11H-6 3-4
11679	2924750	22.31	23.9	846D 11H-6 13-14
11687	2926640	24.6	24.1	846D 11H-6 23-24
11696	2928800	16.57	24.7	846D 11H-6 33-34
11706	2931368	9.22	25.3	846D 11H-6 43-44
11720	2935113	9.67	25.5	846D 11H-6 53-54
11736	2939404	9.59	25.8	846D 11H-6 63-64
11755	2944503	6.4	26	846D 11H-6 73-74
11769	2948263	6.58	26.1	846D 11H-6 83-84
11779	2950784	5.95	26	846D 11H-6 93-94
11787	2952735	5.2	26.1	846D 11H-6 103-104
11793	2954193	3.97	25.7	846C 11H-5 33-34
11794	2954437	6.61	25.5	846D 11H-6 113-114
11799	2955646	4.07	25.8	846D 11H-6 123-124
11803	2956620	3.35	25.8	846C 11H-5 43-44
11804	2956865	4.79	25.7	846D 11H-6 133-134
11813	2959053	4.51	25.6	846C 11H-5 53-54
11820	2960626	3.69	25.9	846D 11H-6 143-144
11823	2961257	3.73	25.7	846C 11H-5 63-64
11830	2962622	3.58	25.8	846D 11H-7 3-4
11833	2963203	4.62	25.4	846C 11H-5 73-74
11839	2964363	4.8	25.5	846D 11H-7 13-14
11843	2965140	5.19	25.1	846C 11H-5 83-84
11853	2967074	7.09	24.7	846C 11H-5 93-94
11863	2968996	5.88	24.4	846C 11H-5 103-104
11873	2970916	5.33	24.6	846C 11H-5 113-114
11883	2972836	5.43	24.8	846C 11H-5 123-124
11893	2974748	4.29	25.2	846C 11H-5 133-134
11903	2976666	4.25	25.6	846C 11H-5 143-144
11913	2978586	4.92	25.1	846C 11H-6 3-4
11923	2980506	3.89	25.3	846C 11H-6 13-14
11933	2982426	4.23	25.3	846C 11H-6 23-24
11943	2984346	3.77	25.9	846C 11H-6 33-34
11953	2986266	4.49	25.8	846C 11H-6 43-44
11963	2988210	6.12	25.1	846C 11H-6 53-54
11973	2990224	6.16	24.8	846C 11H-6 63-64
11983	2992254	5.33	24.7	846C 11H-6 73-74
11988	2993395	4.12	25.5	846D 12H-1 3-4
11993	2994620	5.71	24.8	846C 11H-6 83-84
11998	2995844	8.84	24.8	846D 12H-1 13-14
12003	2997067	5.83	24.7	846C 11H-6 93-94
12008	2998291	6.56	24.7	846D 12H-1 23-24
12013	2999511	5.17	24.9	846C 11H-6 103-104
12016	3000243	5.46	24.8	846D 12H-1 33-34
12023	3002011	5.29	24.8	846C 11H-6 113-114
12024	3002268	5.73	24.8	846D 12H-1 43-44
12033	3004678	6.37	24.6	846D 12H-1 53-54
12042	3007118	5.58	24.5	846D 12H-1 63-64
12043	3007389	5.65	24.5	846C 11H-6 133-134
12052	3009828	6.65	24.5	846D 12H-1 73-74
12053	3010099	4.9	24.6	846C 11H-6 143-144
12062	3012538	6.2	24.5	846D 12H-1 83-84
12073	3015518	7.04	24.6	846D 12H-1 93-94
12083	3018060	7.05	24.7	846D 12H-1 103-104
12093	3020560	7.04	24.8	846D 12H-1 113-114
12103	3022684	7.69	24.8	846D 12H-1 123-124
12113	3024690	7.77	25.1	846D 12H-1 133-134
12123	3026690	9.02	24.9	846D 12H-1 143-144
12133	3028690	8.73	25	846D 12H-2 3-4
12143	3030690	7.58	25.3	846D 12H-2 13-14
12153	3032690	10.59	25.5	846D 12H-2 23-24
12163	3034698	13.87	25.1	846D 12H-2 33-34
12173	3036876	9.81	25	846D 12H-2 43-44
12183	3039096	9.78	24.7	846D 12H-2 53-54
12193	3041308	9.67	24.6	846D 12H-2 63-64
12203	3043526	8.9	24.8	846D 12H-2 73-74
12212	3045526	10.04	25.1	846D 12H-2 83-84
12222	3047746	10.92	25	846D 12H-2 93-94
12232	3049966	11.76	25.3	846D 12H-2 103-104
12242	3052186	12.38	25.1	846D 12H-2 113-114
12253	3054627	11.16	25.5	846D 12H-2 123-124
12263	3056806	9.52	25.7	846D 12H-2 133-134
12273	3058968	7.7	25.7	846D 12H-2 143-144
12283	3061136	8.48	25.6	846D 12H-3 3-4
12293	3063298	9.4	25.3	846D 12H-3 13-14
12303	3065466	10.75	25.4	846D 12H-3 23-24
12313	3068036	9.96	25.2	846D 12H-3 33-34
12323	3070738	8.76	25.6	846D 12H-3 43-44
12333	3073440	8.88	25.9	846D 12H-3 53-54
12343	3076148	7.28	26.2	846D 12H-3 63-64
12353	3078850	8.45	26.3	846D 12H-3 73-74
12363	3081558	6.87	26.5	846D 12H-3 83-84
12373	3084172	5.93	26.4	846D 12H-3 93-94
12383	3086746	6.72	26.4	846D 12H-3 103-104
12393	3089332	5.83	26.4	846D 12H-3 113-114
12403	3091922	4.42	26.3	846D 12H-3 123-124
12413	3094512	4.73	26.2	846D 12H-3 133-134
12423	3097094	5.32	26.2	846D 12H-3 143-144
12433	3099674	5.52	26.2	846D 12H-4 3-4
12443	3102262	6.09	26.2	846D 12H-4 13-14
12453	3104852	6.78	26.2	846D 12H-4 23-24
12463	3107434	4.32	26.5	846D 12H-4 33-34
12473	3110022	4.92	26.2	846D 12H-4 43-44
12483	3112604	5.81	26.3	846D 12H-4 53-54
12493	3115184	6.67	26	846D 12H-4 63-64
12503	3117772	7.74	25.9	846D 12H-4 73-74
12513	3120362	7.49	25.9	846D 12H-4 83-84
12523	3122944	8.26	25.6	846D 12H-4 93-94
12533	3125524	8.66	25.9	846D 12H-4 103-104
12543	3128112	9.18	25.8	846D 12H-4 113-114
