Hole	"core,section"	top(cm)	composite_depth	age_(ka)	benthic d18O	Uk'37	SST
1020C	3H-4	125	21.23	176.228	-999	0.334	8.675
1020C	3H-4	127	21.25	176.46	4.73	-999	-999
1020C	3H-4	146	21.44	178.664	4.31	-999	-999
1020C	3H-5	0	21.48	179.128	-999	0.332	8.619
1020C	3H-5	17	21.65	181.1	4.79	-999	-999
1020C	3H-5	25	21.73	182.028	-999	0.335	8.717
1020C	3H-5	37	21.85	183.42	4.84	-999	-999
1020C	3H-5	50	21.98	184.8444444	-999	0.318	8.199
1020C	3H-5	75	22.23	187.4833333	-999	0.342	8.904
1020C	3H-5	77	22.25	187.6944444	4.69	-999	-999
1020C	3H-5	100	22.48	190.1222222	-999	0.323	8.355
1020C	3H-5	117	22.65	191.9166667	4.445	-999	-999
1020C	3H-5	125	22.73	192.7611111	-999	0.35	9.152
1020C	3H-6	0	22.98	195.4	-999	0.266	6.683
1020C	3H-6	7	23.05	196.1388889	4.29	-999	-999
1020C	3H-6	25	23.23	198.0388889	-999	0.342	8.911
1020C	3H-6	27	23.25	198.25	4.17	-999	-999
1020C	3H-6	47	23.45	200.3611111	4.105	-999	-999
1020C	3H-6	50	23.48	200.6777778	-999	0.404	10.73
1020C	3H-6	67	23.65	202.4722222	3.93	-999	-999
1020C	3H-6	75	23.73	203.3426724	-999	0.406	10.802
1020C	3H-6	87	23.85	204.7133621	3.94	-999	-999
1020C	3H-6	100	23.98	206.1982759	-999	0.321	8.302
1020C	3H-6	107	24.05	206.9978448	4.185	-999	-999
1020C	3H-6	125	24.23	209.0538793	-999	0.38	10.029
1020C	3H-6	127	24.25	209.2823276	4.12	-999	-999
1020C	3H-6	147	24.45	211.5668103	4.075	-999	-999
1020C	3H-7	0	24.48	211.9094828	-999	0.403	10.71
1020C	3H-7	17	24.65	213.8512931	4.04	-999	-999
1020D	3H-3	24	24.72	214.5650862	-999	0.448	12.027
1020C	3H-7	25	24.73	214.7650862	-999	0.453	12.179
1020D	3H-3	37	24.84	216.0215517	3.65	-999	-999
1020C	3H-7	37	24.85	216.1357759	3.9	-999	-999
1020C	3H-7	50	24.97	217.1863095	-999	0.446	11.956
1020D	3H-3	50	24.99	217.3565476	-999	0.435	11.633
1020C	3H-7	57	25.05	217.8672619	4.01	-999	-999
1020D	3H-3	74	25.22	219.3142857	-999	0.268	6.742
1020D	3H-3	77	25.24	219.4845238	4.15	-999	-999
1020C	3H-7	77	25.25	219.5696429	4.13	-999	-999
1020Cc	3H-CC	7	25.36	220.5059524	4.245	-999	-999
1020D	3H-3	100	25.48	221.527381	-999	0.275	6.939
1020D	3H-3	124	25.72	223.6027778	-999	0.258	6.446
1020D	3H-3	137	25.84	224.8194444	4.49	-999	-999
1020D	3H-3	144	25.92	225.6305556	-999	0.249	6.187
1020D	3H-4	0	25.98	226.2388889	-999	0.269	6.776
1020C	4H-1	17	26.04	226.8472222	4.26	-999	-999
1020D	3H-4	24	26.22	228.6722222	-999	0.245	6.055
1020C	4H-1	36	26.23	228.7736111	4.355	-999	-999
1020D	3H-4	47	26.4	230.4972222	4.32	-999	-999
1020D	3H-4	50	26.4	230.4972222	-999	0.28	7.086
1020C	4H-1	57	26.44	230.9027778	4.15	-999	-999
1020D	3H-4	67	26.5	231.5111111	4.3	-999	-999
1020D	3H-4	74	26.55	232.0180556	-999	0.251	6.245
1020C	4H-1	77	26.64	232.9305556	4.36	-999	-999
1020D	3H-4	87	26.65	233.0319444	4.37	-999	-999
1020D	3H-4	100	26.72	233.7416667	-999	0.269	6.773
1020D	3H-4	107	26.775	234.2993056	4.21	-999	-999
1020C	4H-1	97	26.84	234.9583333	4.1	-999	-999
1020D	3H-4	124	26.87	235.2625	-999	0.331	8.587
1020D	3H-4	127	26.9	235.5666667	3.973	-999	-999
1020D	3H-4	144	27	236.5805556	-999	0.376	9.906
1020D	3H-4	147	27.025	236.8340278	3.75	-999	-999
1020C	4H-1	117	27.04	236.9861111	3.89	-999	-999
1020D	3H-5	0	27.05	237.0875	-999	0.397	10.539
1020C	4H-1	125	27.11	237.6958333	-999	0.435	11.655
1020D	3H-5	17	27.14	238	3.923	-999	-999
1020D	3H-5	37	27.2	238.8571429	3.65	-999	-999
1020C	4H-1	137	27.24	239.4285714	-999	-999	-999
1020C	4H-2	0	27.37	241.2857143	-999	0.329	8.521
1020C	4H-2	7	27.44	242.2857143	3.97	-999	-999
1020C	4H-2	25	27.62	244.8571429	-999	0.339	8.825
1020C	4H-2	27	27.64	245.1428571	-999	-999	-999
1020C	4H-2	47	27.84	248	4.21	-999	-999
1020C	4H-2	50	27.87	248.4285714	-999	0.311	8
1020C	4H-2	67	28.04	250.8571429	4.8	-999	-999
1020C	4H-2	75	28.12	252	-999	0.304	7.801
1020C	4H-2	87	28.24	253.7142857	4.895	-999	-999
1020C	4H-2	100	28.37	254.6769231	-999	0.312	8.02
1020C	4H-2	107	28.44	255.1076923	4.865	-999	-999
1020C	4H-2	125	28.62	256.2153846	-999	0.312	8.018
1020C	4H-2	127	28.64	256.3384615	4.815	-999	-999
1020C	4H-2	147	28.84	257.5692308	4.7	-999	-999
1020C	4H-3	0	28.87	257.7538462	-999	0.293	7.467
1020C	4H-3	17	29.04	258.8	4.81	-999	-999
1020C	4H-3	25	29.12	259.2923077	-999	0.306	7.861
1020C	4H-3	37	29.24	260.0307692	4.665	-999	-999
1020C	4H-3	50	29.37	260.8307692	-999	0.271	6.822
1020C	4H-3	57	29.44	261.2615385	4.57	-999	-999
1020C	4H-3	75	29.62	262.5289677	-999	0.23	5.625
1020C	4H-3	77	29.64	262.7052903	4.66	-999	-999
1020C	4H-3	100	29.87	264.733	-999	0.244	6.015
1020C	4H-3	117	30.04	266.2317419	4.69	-999	-999
1020C	4H-3	125	30.12	266.9370323	-999	0.255	6.358
1020C	4H-4	0	30.37	269.1410645	-999	0.279	7.07
1020C	4H-4	25	30.62	271.3450968	-999	0.286	7.269
1020C	4H-4	50	30.87	273.549129	-999	0.256	6.39
1020C	4H-4	75	31.12	275.7531613	-999	0.304	7.801
1020C	4H-4	100	31.37	277.9571936	-999	0.268	6.73
