# Western Pacific Warm Pool Oxygen Isotope and Mg/Ca Data and SST Reconstruction during the Pleistocene
#-----------------------------------------------------------------------
#              World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                       NOAA Paleoclimatology Program 
#-----------------------------------------------------------------------
# NOTE: Please cite original publication, online resource and date accessed when using this data.
# If there is no publication information, please cite Investigator, title, online resource and date accessed.
#
# Online_Resource: http://www.ncdc.noaa.gov/paleo/study/ 
# Online_Resource: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/dyez2014-grl/dyez2014-grl.txt
#
# Archive: Paleoceanography
#
#--------------------------------
# Contribution_Date
#   Date: 2015-02-20
#--------------------------------
# Title:  Western Pacific Warm Pool Oxygen Isotope and Mg/Ca Data and SST Reconstruction during the Pleistocene
#--------------------------------
# Investigators: Dyez, Kelsey A.; Ravelo, A. Christina
#--------------------
# Description and Notes: 
#    Description: These are data from the western Pacific warm pool, derived from sediments of Site 871, retrieved as part of ODP drilling. The dataset contains both oxygen isotopic values measured on benthic foraminifera and Mg/Ca values measured on planktic foraminifera. Included is the estimated sea surface temperature value, derived from planktic Mg/Ca.
#
#--------------------
# Publication 
#   Authors: Dyez, K.A. and A.C. Ravelo
#   Journal_Name: Geophysical Research Letters
#   Published_Title: Dynamical changes in the tropical Pacific warm pool and zonal SST gradient during the Pleistocene
#   Published_Date_or_Year: 2014
#   Volume: 41
#   Issue: 21
#   Pages: 7626-7633
#   DOI: 10.1002/2014GL061639
# Abstract: In the late Pleistocene, the atmospheric carbon dioxide concentration (pCO2) is thought to be a primary driving force for tropical sea surface temperature (SST) change because glacial-interglacial changes in tropical Pacific SST covary with pCO2. However, if the regional radiative effects of pCO2 were the only agent of change, tropical SST gradients should have remained similar as pCO2 varied with time. Instead, a new record of SST from the west Pacific shows that tropical SST gradients were different, even reversed, in the past, suggesting an important role for dynamical circulation changes. Specifically, changes in the temperature of upwelled source water, in addition to local pCO2 forcing, influenced tropical Pacific SST. These dynamical changes, rather than pCO2, may have shifted the background state of the tropics and even helped set the stage for the mid-Pleistocene transition.
#--------------------------------
# Funding_Agency: 
#    Funding_Agency_Name:
#    Grant:
#--------------------------------
# Site Information: 
# Site_Name: ODP871
# Location: Western Pacific Ocean 
#	Northernmost_Latitude:  5.55
# 	Southernmost_Latitude:  5.55
# 	Easternmost_Longitude: 172.35
# 	Westernmost_Longitude:  172.35
# 	Elevation: -1255
#--------------------------------
# Data Collection 
# Collection_Name: ODP871 Dyez14
# Oldest_Year: 1412000
# Most_Recent_Year: 45000
# Time_Unit: cal yr BP (1950 AD)
# Core_Length: 
# Notes: Age of sample based on alignment of benthic d18O record with a global benthic d18O stack [Liseicki and Raymo, 2005]. SST = ln [(Mg/Ca + 0.259 x Water depth (km) + 0.537)/0.38]/0.09 [Dyez and Ravelo, 2013]. Notes in data table show that samples are from ODP Site 871 followed by Hole, Core(Type), Section, Half, and Interval, listed in cm.
#--------------------------------
# Chronology    
#--------------------------------
# Variables    
# 
# Data variables follow (have double marker- "##")
# Data line variables format:  Variables list, one per line, shortname-tab-nine components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
## depth_m  Depth,,,m,,,,,N
## age_calkaBP  age,,,calendar kiloyears before 1950,,,,,N
## d18Ouvig  delta 18O,Uvigerina spp.,,per mil VPDB,,Paleoceanography,250-355 µm,,N
## Mg/Ca-g.rub-w	Magnesium Calcium ratio,Globigerinoides ruber white,, mmol/mol,,Paleoceanography,250-355 µm,,N
## SST-Mg/Ca-g.rub-w sea-surface temperature,Mg/Ca Globigerinoides ruber white,,degrees C,,Paleoceanography,,Using formula from Dyez and Ravelo(2013),N
#-----------------------------------
# Data:
# Missing Value: -999
depth_m	age_calkaBP	d18Ouvig	Mg/Ca-g.rub-w	SST-Mg/Ca-g.rub-w
4.21	400	3.62	4.342	29.1	871 B 1H-3 121-123
4.24	403	3.25	4.678	29.8	871 B 1H-3 124-126
4.27	406	2.74	4.807	30	871 B 1H-3 127-129
4.3	409	-999	4.918	30.2	871 B 1H-3 130-132
4.33	412	3.78	4.649	29.7	871 B 1H-3 133-135
4.36	415	3.29	4.72	29.9	871 B 1H-3 136-138
4.39	418	3.42	4.692	29.8	871 B 1H-3 139-141
4.42	421	4.89	4.406	29.2	871 B 1H-3 142-144
4.45	424	4.05	4.228	28.8	871 B 1H-3 145-147
4.48	427	4.32	4.227	28.8	871 B 1H-3 148-150
4.51	430	4.98	3.864	28	871 B 1H-4 1-3
4.54	433	4.6	3.623	27.4	871 B 1H-4 4-6
4.57	436	4.21	3.49	27.1	871 B 1H-4 7-9
4.6	439	4.45	3.561	27.3	871 B 1H-4 10-12
4.63	442	4.68	3.584	27.3	871 B 1H-4 13-15
4.66	445	4.28	3.586	27.3	871 B 1H-4 16-18
4.69	448	4.34	3.603	27.4	871 B 1H-4 19-21
4.72	451	4.44	3.906	28.1	871 B 1H-4 22-24
4.75	454	4.64	3.684	27.6	871 B 1H-4 25-27
4.78	457	4.15	3.731	27.7	871 B 1H-4 28-30
4.81	460	4.45	3.469	27	871 B 1H-4 31-33
4.84	463	4.33	3.423	26.9	871 B 1H-4 34-36
4.87	466	4.39	3.391	26.8	871 B 1H-4 37-39
4.9	469	4.14	3.379	26.8	871 B 1H-4 40-42
4.93	472	3.96	3.549	27.2	871 B 1H-4 43-45
4.96	475	3.06	3.56	27.3	871 B 1H-4 46-48
4.99	479	3.5	3.676	27.6	871 B 1H-4 49-51
5.02	482	3.66	3.978	28.3	871 B 1H-4 52-54
5.05	485	2.83	4.179	28.7	871 B 1H-4 55-57
5.08	488	3.69	4.1	28.5	871 B 1H-4 58-60
5.11	491	3.66	4.061	28.5	871 B 1H-4 61-63
5.14	494	3.67	4.066	28.5	871 B 1H-4 64-66
5.17	497	3.49	3.992	28.3	871 B 1H-4 67-69
5.2	500	3.88	3.929	28.2	871 B 1H-4 70-72
5.23	503	3.83	3.912	28.1	871 B 1H-4 73-75
5.26	506	3.76	3.821	27.9	871 B 1H-4 76-78
5.29	509	4.17	3.752	27.7	871 B 1H-4 79-81
5.32	512	4.14	3.94	28.2	871 B 1H-4 82-84
5.35	515	3.85	4.101	28.5	871 B 1H-4 85-87
5.38	518	4.08	3.981	28.3	871 B 1H-4 88-90
5.41	521	4.05	3.972	28.3	871 B 1H-4 91-93
5.44	524	4.15	3.994	28.3	871 B 1H-4 94-96
5.47	527	3.38	3.768	27.8	871 B 1H-4 97-99
5.5	530	4.07	3.881	28	871 B 1H-4 100-102
5.53	533	3.78	3.486	27.1	871 B 1H-4 103-105
5.56	536	4.29	3.593	27.3	871 B 1H-4 106-108
5.59	539	4.23	3.528	27.2	871 B 1H-4 109-111
5.62	541	4.28	3.66	27.5	871 B 1H-4 112-114
5.65	543	4.05	3.901	28.1	871 B 1H-4 115-117
5.68	546	4.11	3.839	27.9	871 B 1H-4 118-120
5.71	548	4.05	3.752	27.7	871 B 1H-4 121-123
5.74	550	4.01	3.79	27.8	871 B 1H-4 124-126
5.77	553	3.73	3.916	28.1	871 B 1H-4 127-129
5.8	555	3.79	4.042	28.4	871 B 1H-4 130-132
5.83	557	3.78	3.805	27.9	871 B 1H-4 133-135
5.86	560	4.09	4.394	29.2	871 B 1H-4 136-138
5.77	561	3.93	4.032	28.4	871 A 1H-4 127-129
5.8	562	3.61	4.079	28.5	871 A 1H-4 130-132
5.83	563	3.42	4.035	28.4	871 A 1H-4 133-135
5.86	564	3.67	3.968	28.2	871 A 1H-4 136-138
5.89	566	3.96	4.059	28.5	871 A 1H-4 139-141
5.92	567	3.88	4.008	28.3	871 A 1H-4 142-144
6.01	568	3.67	3.963	28.2	871 A 1H-5 1-3
6.04	569	3.79	4.157	28.7	871 A 1H-5 4-6
6.07	570	3.74	4.062	28.5	871 A 1H-5 7-9
6.1	571	3.9	3.997	28.3	871 A 1H-5 10-12
6.13	573	3.84	4.104	28.6	871 A 1H-5 13-15
6.16	574	3.92	4.028	28.4	871 A 1H-5 16-18
6.19	575	3.92	3.946	28.2	871 A 1H-5 19-21
6.22	576	4.46	3.77	27.8	871 A 1H-5 22-24
6.25	577	4.29	3.81	27.9	871 A 1H-5 25-27
6.28	578	3.44	3.753	27.7	871 A 1H-5 28-30
6.11	579	3.74	4.104	28.6	871 B 2H-1 1-3
6.14	582	4.84	4.057	28.5	871 B 2H-1 4-6
6.17	584	4.32	4.204	28.8	871 B 2H-1 7-9
6.2	587	4.44	3.888	28.1	871 B 2H-1 10-12
6.23	589	4.38	3.842	28	871 B 2H-1 13-15
6.26	591	4.69	3.783	27.8	871 B 2H-1 16-18
6.29	594	4.39	3.78	27.8	871 B 2H-1 19-21
6.32	596	4.32	3.842	28	871 B 2H-1 22-24
6.35	598	4.32	3.724	27.7	871 B 2H-1 25-27
6.38	601	4.26	4.061	28.5	871 B 2H-1 28-30
6.41	603	4.13	4.078	28.5	871 B 2H-1 31-33
6.44	605	3.78	3.819	27.9	871 B 2H-1 34-36
6.47	608	3.95	3.98	28.3	871 B 2H-1 37-39
6.5	610	3.89	4.038	28.4	871 B 2H-1 40-42
6.53	613	3.35	4.318	29	871 B 2H-1 43-45
6.56	618	3.66	4.232	28.8	871 B 2H-1 46-48
6.59	622	3.45	4.522	29.5	871 B 2H-1 49-51
6.62	627	3.73	4.098	28.5	871 B 2H-1 52-54
6.68	637	3.71	4.207	28.8	871 B 2H-1 58-60
6.71	641	4.86	4.016	28.4	871 B 2H-1 61-63
6.74	646	4.38	4.009	28.3	871 B 2H-1 64-66
6.77	651	4	4.095	28.5	871 B 2H-1 67-69
6.8	656	3.88	4.046	28.4	871 B 2H-1 70-72
6.83	660	4.17	3.956	28.2	871 B 2H-1 73-75
6.86	665	4.27	4.045	28.4	871 B 2H-1 76-78
6.89	670	3.49	3.92	28.1	871 B 2H-1 79-81
6.92	675	4.33	3.937	28.2	871 B 2H-1 82-84
6.95	679	4.13	4.042	28.4	871 B 2H-1 85-87
6.98	684	3.86	3.986	28.3	871 B 2H-1 88-90
7.01	689	4.18	3.939	28.2	871 B 2H-1 91-93
7.04	694	4.13	4.117	28.6	871 B 2H-1 94-96
7.07	698	4.04	3.993	28.3	871 B 2H-1 97-99
7.1	703	3.73	4.125	28.6	871 B 2H-1 100-102
7.13	708	3.97	3.979	28.3	871 B 2H-1 103-105
7.16	713	4.3	4.051	28.4	871 B 2H-1 106-108
7.19	717	4.27	3.857	28	871 B 2H-1 109-111
7.22	722	4.43	4.075	28.5	871 B 2H-1 112-114
7.25	727	4.64	3.966	28.2	871 B 2H-1 115-117
7.28	732	4.17	3.839	27.9	871 B 2H-1 118-120
7.31	736	4.11	3.819	27.9	871 B 2H-1 121-123
7.34	741	3.53	3.725	27.7	871 B 2H-1 124-126
7.37	744	4.1	3.86	28	871 B 2H-1 127-129
7.4	747	4.14	3.728	27.7	871 B 2H-1 130-132
7.43	750	4.22	3.984	28.3	871 B 2H-1 133-135
7.46	752	3.8	3.819	27.9	871 B 2H-1 136-138
7.49	755	3.84	4.01	28.3	871 B 2H-1 139-141
7.52	758	3.95	3.798	27.8	871 B 2H-1 142-144
7.55	761	3.81	3.944	28.2	871 B 2H-1 145-147
7.58	764	3.59	4.064	28.5	871 B 2H-1 148-150
7.61	767	3.6	3.972	28.3	871 B 2H-2 1-3
7.64	770	4.61	4.308	29	871 B 2H-2 4-6
7.67	772	-999	4.41	29.2	871 B 2H-2 7-9
7.7	775	3.42	4.421	29.2	871 B 2H-2 10-12
7.73	778	3.68	4.334	29.1	871 B 2H-2 13-15
7.76	781	3.37	4.431	29.3	871 B 2H-2 16-18
7.79	784	4.06	4.141	28.6	871 B 2H-2 19-21
7.82	787	4.12	3.98	28.3	871 B 2H-2 22-24
7.85	790	3.94	3.832	27.9	871 B 2H-2 25-27
7.88	792	4.29	3.835	27.9	871 B 2H-2 28-30
7.91	795	4.49	3.879	28	871 B 2H-2 31-33
7.94	798	3.73	3.705	27.6	871 B 2H-2 34-36
7.97	801	3.9	3.827	27.9	871 B 2H-2 37-39
8	803	3.48	3.873	28	871 B 2H-2 40-42
8.03	806	3.71	3.944	28.2	871 B 2H-2 43-45
8.06	809	-999	3.776	27.8	871 B 2H-2 46-48
8.09	811	4.01	4.001	28.3	871 B 2H-2 49-51
8.12	814	3.76	4.02	28.4	871 B 2H-2 52-54
8.15	817	3.64	4.319	29	871 B 2H-2 55-57
8.18	819	3.68	4.177	28.7	871 B 2H-2 58-60
8.21	822	3.62	4.067	28.5	871 B 2H-2 61-63
8.24	825	3.74	4.057	28.5	871 B 2H-2 64-66
