# NOAA Paleoclimatology Program - Paleocean Site Data
# e49-18-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             William R. Howard
# Core/Site:      E49-18
# Latitude:       46.03.00S	( -46.05)
# Longitude:      90.10.00E	( 90.16667)
# Water Depth(m): 3291
#
# Publications:
#   Howard, W.R., and W.L. Prell. 1992. Late Quaternary surface circulation of the
#     southern Indian Ocean and its relationship to orbital variations. Paleoceanography
#     7:79-118.
#   Howard, W.R., and W.L. Prell. 1994. Late Quaternary carbonate production and
#     preservation in the Southern Ocean: implications for oceanic and atmospheric
#     carbon cycling. Paleoceanography 9:453-482.
#------------------
#
# Description & Notes:
#   Southern Indian Ocean circulation during the late Quaternary
#   
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d13C          delta C13 PDB
#             d18O          delta O18 PDB
#             Dsqchord      Squared-chord distance
#             forams/g      Foraminifers per gram
#             g.bull%       Globigerina bulloides percent
#             g.falco%      Globigerina falconensis percent
#             g.glut%       Globigerinita glutinata percent
#             g.infla%      Globorotalia inflata percent
#             g.quinq%      Globigerina quinquiloba percent
#             g.trc-l%      Globorotalia truncatulinoides (left coiling) percent
#             n.pachy-l%    Neogloboquadrina pachyderma (left coiling) percent
#             n.pachy-r%    Neogloboquadrina pachyderma (right coiling) percent
#             o.univer%     Orbulina universa percent
#             pd%           Globigerina pachyderma x Globoquadrina dutertrei intergrade percent
#             plank         Planktonic foraminifers (Count)
#             sst-aug       Sea Surface Temperature (C, August)
#             sst-feb       Sea Surface Temperature (C, February)
#             carb%         Calcium Carbonate percent
#             cfrac%>150    Coarse fraction percent (>150 micron)
#             drysedwtg     Dry sediment weight (g)
#             forams%       Foraminifers percent
#             forams-b      Benthic Foraminifers (Count)
#             forams-b%     Benthic Foraminifers percent
#             foramsfrag    Foraminifers Fragments
#             radio         Radiolarians (Count)
#             radio%        Radiolarians percent
#             split         Split
#             g.duter%      Globoquadrina dutertrei percent
#             g.trc-r%      Globorotalia truncatulinoides (right coiling) percent
#             g.crass%      Globorotalia crassaformis percent
#             g.calid%      Globigerina calida percent
#             g.digit%      Globigerina digitata percent
#             g.scit%       Globorotalia scitula percent
#             g.aequi%      Globigerinella aequilateralis percent
#             g.sp%         Globorotalia sp. percent
#             p.obliq%      Pulleniatina obliquiloculata percent
#
# CORE: E49-18
depth	yrBP 	d13C	d18O	Dsqchord	Dsqchord_err	forams/g	g.bull%	g.falco%	g.glut%	g.infla%	g.quinq%	g.trc-l%	n.pachy-l%	n.pachy-r%	o.univer%	pd%	plank	sst-aug	sst-aug_err	sst-feb	sst-feb_err	carb%	cfrac%>150	drysedwtg	forams%	forams-b	forams-b%	foramsfrag	radio	radio%	split	g.duter%	g.trc-r%	g.crass%	g.calid%	g.digit%	g.scit%	g.aequi%	g.sp%	p.obliq%	notes
170	-999	0.26	2.9	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	27	14.9	2.52	93.5	2	0.7	20	9	3	0.0078	-999	-999	-999	-999	-999	-999	-999	-999	-999	
180	-999	0.23	2.91	0.05	0.01	6785	49.9	0.3	3	15.8	3	3	22.5	0.9	-999	1.2	337	5.78	1.4	7.49	1.1	24.8	10.7	3.18	82.8	3	0.9	70	8	2.3	0.0156	-999	-999	-999	-999	0.3	-999	-999	-999	-999	
190	53000	0.22	2.81	0.06	0.02	18314	56	0.4	4.3	12.8	2.8	1.8	18.4	1.1	-999	2.5	288	5.78	1.4	7.49	1.1	44.7	22.8	4.02	90.6	1	0.4	30	14	4.6	0.0039	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: 3.3
200	-999	0.39	3.02	0.06	0.02	10924	52	-999	5.1	7.8	3.3	3.3	27.6	0.3	-999	0.6	341	4.92	0.8	6.97	0.5	52.1	14.1	4	75.6	5	1.5	110	8	2.3	0.0078	-999	-999	-999	-999	-999	-999	-999	-999	-999	
210	65000	0.41	3.14	0.08	0.01	10527	53.7	-999	1.5	8.1	1.2	0.8	31.7	1.9	-999	1.2	264	5.1	1.3	7.72	1.3	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: 4.2
210	65000	0.46	3.21	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	53.8	13.9	3.21	58.2	7	2.6	190	18	6.4	0.0078	-999	-999	-999	-999	-999	-999	-999	-999	-999	
220	-999	0.25	3.03	0.06	0.02	10696	42.9	-999	0.8	8	1.7	1.3	43.7	0.8	-999	0.8	239	4.08	1.1	6.97	1.4	53.9	14.9	2.86	77.4	2	0.8	70	16	6.3	0.0078	-999	-999	-999	-999	-999	-999	-999	-999	-999	
230	-999	0.27	2.95	0.07	0.02	13928	37.7	-999	0.6	7.2	1.3	0.6	49.5	1.6	0.3	0.9	326	3.9	1.3	6.76	1.7	46.6	17.5	3	80.3	3	0.9	80	21	6.1	0.0078	-999	0.3	-999	-999	-999	-999	-999	-999	-999	
240	-999	0.06	2.53	0.06	0.01	23250	42.3	-999	1.6	10.3	1	1.6	41.4	0.3	-999	1.3	324	4.08	1.1	6.97	1.4	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.3	-999	-999	-999	-999	-999	-999	-999	
240	-999	0.22	2.98	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	31.2	32.6	3.56	73	7	2.1	120	7	2.1	0.0039	-999	-999	-999	-999	-999	-999	-999	-999	-999	
250	-999	0.21	2.65	0.05	0.01	17263	42.3	-999	2.6	12.6	2.1	1.6	36.9	0.7	-999	1.2	434	4.77	0.8	7.23	1	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
250	-999	0.1	3.12	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	21.2	18.9	3.22	78.3	3	0.7	120	5	1.1	0.0078	-999	-999	-999	-999	-999	-999	-999	-999	-999	
260	-999	-0.05	2.6	0.05	0.02	12917	50.1	-999	4.5	16.5	4	2.1	20.3	0.8	-999	1.6	378	5.78	1.4	7.49	1.1	25.8	22.8	3.75	79.1	2	0.5	100	9	2.3	0.0078	-999	-999	-999	-999	-999	-999	-999	-999	-999	
265	80000	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: 5.1
270	-999	0	2.65	0.06	0.02	14612	53	0.2	6.1	16.6	2.9	2.2	16.8	1.2	-999	1	417	5.78	1.4	7.49	1.1	24.6	20.4	3.65	79.1	2	0.5	110	4	1	0.0078	-999	-999	-999	-999	-999	-999	-999	-999	-999	
280	-999	-0.04	2.72	0.06	0.01	11882	49.4	0.3	3.2	9	2.3	1.6	31.6	1	-999	1	313	5.15	1.1	7.07	0.6	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.3	0.3	-999	-999	-999	
280	-999	0.08	2.91	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	28.8	18.4	3.37	81.7	0	0	70	7	2.2	0.0078	-999	-999	-999	-999	-999	-999	-999	-999	-999	
290	-999	0.07	2.82	0.06	0.02	20355	39.3	-999	4.4	5.1	1	1.7	46.1	0.7	-999	1.7	294	4.27	1.2	7.04	1.3	37.8	22	3.69	88	0	0	40	11	3.6	0.0039	-999	-999	-999	-999	-999	-999	-999	-999	-999	
300	-999	-0.09	2.81	0.07	0.02	17120	40.9	-999	2.5	3.7	1.7	1.2	47.1	1.2	-999	1.7	245	3.71	1.4	6.92	1.7	31.7	21.6	3.66	80.3	3	1.2	60	10	3.9	0.0039	-999	-999	-999	-999	-999	-999	-999	-999	-999	
310	-999	0.09	2.97	0.06	0.01	17842	44.8	-999	3	13.5	1	0.3	35	0.3	-999	2	302	4.54	1	7.08	1.2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
310	-999	0.11	2.9	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	44.4	23.7	4.33	66.8	1	0.3	150	10	3.2	0.0039	-999	-999	-999	-999	-999	-999	-999	-999	-999	
