Hole			rmcd	rmcd(7/12/01)		age			
1012B	2H-3	115	12.1147	12.1147	-999	123.1	0.7	19.4	11.24
1012B	2H-3	125	12.2089	12.2089	3.05	124.14	0.702	19.5	7.02
1012B	2H-3	135	12.3048	12.3048	3.19	125.19	0.691	19.2	7.82
1012B	2H-3	145	12.407	12.407	-999	126.31	0.63	17.4	7.37
1012B	2H-4	5	12.505	12.505	3.22	-999	-999	-999	-999
1012B	2H-4	15	12.6045	12.6045	3.55	128.46	0.646	17.9	5.81
1012B	2H-4	25	12.7013	12.7013	3.44	129.52	0.6	16.5	7.57
1012B	2H-4	35	12.798	12.798	3.24	130.57	0.597	16.4	8.04
1012B	2H-4	45	12.8953	12.8953	3.81	131.64	0.591	16.2	11.34
1012B	2H-4	55	12.9839	12.9839	3.81	132.6	0.592	16.3	12.22
1012B	2H-4	65	13.094	13.094	4.76	133.81	0.587	16.1	15.06
1012B	2H-4	75	13.1963	13.1963	4.68	134.92	0.605	16.6	15.21
1012B	2H-4	85	13.3001	13.3001	4.77	136.06	0.618	17	16.45
1012B	2H-4	95	13.4055	13.4055	4.69	137.26	0.63	17.4	17.29
1012B	2H-4	105	13.5012	13.5012	4.7	138.35	0.636	17.6	17.55
1012B	2H-4	115	13.6181	13.6181	4.72	139.68	0.645	17.8	18.08
1012B	2H-4	125	13.7236	13.7236	4.64	140.88	0.646	17.8	19
1012B	2H-4	135	13.8276	13.8276	4.77	142.06	0.608	16.7	17.98
1012B	2H-4	145	13.9296	13.9296	4.67	143.22	0.575	15.8	16.44
1012B	2H-5	4	14.02	14.02	4.67	144.25	0.548	15	13.77
1012B	2H-5	15	14.1283	14.1283	4.61	145.48	0.526	14.3	12.64
1012B	2H-5	25	14.2253	14.2253	4.5	146.58	0.501	13.6	11.83
1012B	2H-5	35	14.3214	14.3214	4.57	147.67	0.501	13.6	13.54
1012B	2H-5	45	14.4172	14.4172	4.59	148.86	0.499	13.5	12.61
1012B	2H-5	55	14.5039	14.5039	4.46	149.97	0.505	13.7	13.34
1012B	2H-5	65	14.6112	14.6112	4.64	151.34	0.526	14.3	10.79
1012B	2H-5	75	14.7083	14.7083	4.54	152.58	0.522	14.2	11.05
1012B	2H-5	85	14.8015	14.8015	4.68	153.78	0.552	15.1	11.51
1012B	2H-5	95	14.897	14.897	4.65	155	0.548	15	11.39
1012B	2H-5	104	14.9851	14.9851	4.6	156.14	0.534	14.5	5.14
1012B	2H-5	114	15.0951	15.0951	4.49	157.68	0.508	13.8	18.39
1012B	2H-5	124	15.1971	15.1971	4.57	159.12	0.5	13.6	26.08
1012B	2H-5	134	15.3002	15.3002	4.52	160.56	0.509	13.8	29.28
1012B	2H-5	144	15.4036	15.4036	4.46	162.02	0.475	12.8	17.35
1012B	2H-6	4	15.4963	15.4963	4.34	163.32	0.574	15.7	21.74
1012B	2H-6	15	15.6083	15.6083	4.2	164.89	0.525	14.3	20.94
1012B	2H-6	25	15.7081	15.7081	4.29	166.29	0.539	14.7	26.39
1012B	2H-6	35	15.8059	15.8059	4.31	167.67	0.508	13.8	21.36
1012B	2H-6	45	15.9016	15.9016	4.24	169.01	0.511	13.9	19.69
1012B	2H-6	55	15.9957	15.9957	4.21	170.33	0.526	14.3	20.62
1012B	2H-6	65	16.0984	16.0984	4.18	171.78	0.51	13.9	14.6
1012B	2H-6	75	16.22	16.22	4.32	173.2	0.528	14.4	15.01
1012B	2H-6	85	16.32	16.32	4.28	174.2	0.553	15.1	17.35
1012B	2H-6	95	16.42	16.42	4.42	175.2	0.571	15.7	26.3
1012B	2H-6	105	16.51	16.51	4.12	176.1	0.545	14.9	23.13
1012B	2H-6	115	16.62	16.62	4.41	177.2	0.545	14.9	22.38
1012B	2H-6	125	16.72	16.72	4.28	178.2	0.553	15.1	23.72
1012B	2H-6	135	16.82	16.82	-999	179.2	0.573	15.7	30.32
1012B	2H-6	145	16.92	16.92	-999	180.63	0.593	16.3	26.39
1012B	2H-7	4	17.01	17.01	4.4	183.49	0.5	13.6	19.11
1012B	2H-7	15	17.12	17.12	-999	186.98	0.592	16.3	22.84
1012B	2H-7	25	17.22	17.22	-999	190.15	0.611	16.8	20.06
1012B	2H-7	35	17.32	17.32	3.52	193.17	0.654	18.1	14.83
1012A	3H-2	75	17.35	17.35	-999	193.7	0.658	18.2	13.72
1012B	2H-7	45	17.42	17.42	3.475	194.92	0.671	18.6	14.62
1012A	3H-2	85	17.45	17.45	-999	195.45	0.654	18.1	15.53
1012B	2H-7	54	17.51	17.51	3.82	196.49	0.662	18.3	17.85
1012A	3H-2	95	17.55	17.55	-999	197.19	0.671	18.6	13.29
