# NOAA Paleoclimatology Program - Paleocean Site Data
# e49-23-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             William R. Howard
# Core/Site:      E49-23
# Latitude:       47.07.00S	( -47.11667)
# Longitude:      95.05.00E	( 95.08334)
# Water Depth(m): 3206
#
# Publications:
#   Howard, W.R., and W.L. Prell. 1992. Late Quaternary surface circulation of the
#     southern Indian Ocean and its relationship to orbital variations. Paleoceanography
#     7:79-118.
#   Howard, W.R., and W.L. Prell. 1994. Late Quaternary carbonate production and
#     preservation in the Southern Ocean: implications for oceanic and atmospheric
#     carbon cycling. Paleoceanography 9:453-482.
#------------------
#
# Description & Notes:
#   Southern Indian Ocean circulation during the late Quaternary
#   
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             carb%         Calcium Carbonate percent
#             cfrac%>150    Coarse fraction percent (>150 micron)
#             drysedwtg     Dry sediment weight (g)
#             forams%       Foraminifers percent
#             forams-b      Benthic Foraminifers (Count)
#             forams-b%     Benthic Foraminifers percent
#             foramsfrag    Foraminifers Fragments
#             radio         Radiolarians (Count)
#             radio%        Radiolarians percent
#             split         Split
#             d13C          delta C13 PDB
#             d18O          delta O18 PDB
#             Dsqchord      Squared-chord distance
#             forams/g      Foraminifers per gram
#             g.bull%       Globigerina bulloides percent
#             g.glut%       Globigerinita glutinata percent
#             g.infla%      Globorotalia inflata percent
#             g.quinq%      Globigerina quinquiloba percent
#             g.trc-l%      Globorotalia truncatulinoides (left coiling) percent
#             n.pachy-l%    Neogloboquadrina pachyderma (left coiling) percent
#             n.pachy-r%    Neogloboquadrina pachyderma (right coiling) percent
#             pd%           Globigerina pachyderma x Globoquadrina dutertrei intergrade percent
#             plank         Planktonic foraminifers (Count)
#             sst-aug       Sea Surface Temperature (C, August)
#             sst-feb       Sea Surface Temperature (C, February)
#             g.crass%      Globorotalia crassaformis percent
#             g.digit%      Globigerina digitata percent
#             g.scit%       Globorotalia scitula percent
#             g.trc-r%      Globorotalia truncatulinoides (right coiling) percent
#             g.falco%      Globigerina falconensis percent
#             o.univer%     Orbulina universa percent
#
# CORE: E49-23
depth	yrBP 	carb%	cfrac%>150	drysedwtg	forams%	forams-b	forams-b%	foramsfrag	radio	radio%	split	d13C	d18O	Dsqchord	Dsqchord_err	forams/g	g.bull%	g.glut%	g.infla%	g.quinq%	g.trc-l%	n.pachy-l%	n.pachy-r%	pd%	plank	sst-aug	sst-aug_err	sst-feb	sst-feb_err	g.crass%	g.digit%	g.scit%	g.trc-r%	g.falco%	o.univer%	notes
128	-999	32.4	3.9	2.75	72	2	1.1	130	120	36.4	0.0156	0.19	3.8	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
129	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.05	0.01	5708	8	-999	3.9	0.2	0.2	85.6	1.2	0.7	437	1.67	0.9	4.33	1.7	0.2	-999	-999	-999	-999	-999	
138	-999	34.1	7.3	2.36	78.8	8	0.4	90	370	19.9	0.0625	0.04	3.5	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
139	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.06	0.01	11286	11.7	0.2	3.1	-999	-999	83.5	0.2	1.3	484	1.94	1	4.91	2.1	-999	-999	-999	-999	-999	-999	
148	-999	20.5	1.7	2.33	77.9	5	2.5	100	190	53.9	0.0313	0.35	3.81	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
149	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.03	0.01	2153	3.8	-999	1.9	-999	-999	93.7	0.3	0.3	317	1.11	1	3.36	1.8	-999	-999	-999	-999	-999	-999	
158	-999	23.1	4.2	2.45	85.3	5	0.9	70	120	24.6	0.0156	-0.15	3.54	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
159	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.05	0.01	7963	7.7	0.4	2.5	3.3	0.2	84.5	0.7	0.7	581	1.54	1	4.4	1.8	-999	-999	-999	-999	-999	-999	
168	-999	36.6	5.3	2.52	85.3	2	1.2	50	60	22.8	0.0078	0.23	3.77	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
169	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.05	0.01	10614	5.9	-999	3.5	-999	0.3	88.4	0.5	1.5	406	1.74	0.8	4.05	1.7	-999	-999	-999	-999	-999	-999	
178	-999	36.4	8	2.92	87.8	5	0.6	100	150	14.3	0.0156	0.1	3.57	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
179	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.06	0.01	18351	11.1	0.6	3.1	-999	-999	83.6	1.1	0.6	360	1.77	0.8	4.55	1.7	-999	-999	-999	-999	-999	-999	
188	-999	43.2	5.1	2.82	80.3	5	1.2	60	50	26.9	0.0078	0.27	3.6	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
189	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.06	0.02	8960	16.5	0.5	3.9	-999	-999	77.3	1.5	0.3	408	2.01	1.1	5.66	2.8	-999	-999	-999	-999	-999	-999	
198	-999	34.7	8.4	2.93	82.6	5	1.7	130	100	14.9	0.0156	0.02	3.24	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
199	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.06	0.02	12952	21.8	1.4	4.2	-999	0.4	69	2.1	1.1	285	2.37	1.2	6.29	2.5	-999	-999	-999	-999	-999	-999	
208	53000	31.3	7.7	2.74	78.3	3	1.1	50	40	17.6	0.0078	-0.36	3.2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: 3.3
209	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.07	0.02	10249	28.4	0.4	3.2	-999	0.4	66.2	0.2	1.1	468	2.37	1.2	6.29	2.5	-999	-999	-999	-999	-999	-999	
218	-999	32.8	7	3.25	86.4	6	0.9	100	50	11.2	0.0078	-0.18	3.49	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
219	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.06	0.01	14860	11.2	-999	2.3	-999	-999	84.5	1.3	0.7	317	1.91	0.9	4.58	1.9	-999	-999	-999	-999	-999	-999	
228	-999	36	11.8	2.73	80.5	15	1.4	110	260	10.8	0.0625	-0.16	3.96	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
229	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.07	0.02	16257	24.2	-999	3.2	1.2	1.7	67.6	1.7	0.5	412	2.84	1.5	6.79	2.1	-999	-999	-999	-999	-999	-999	
238	-999	23.9	2.2	2.5	83.7	13	2.6	140	380	31.6	0.125	-0.09	3.36	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
239	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.07	0.01	3307	12.1	1.1	1.3	-999	0.9	83	0.9	0.5	564	2.01	1.1	5.06	2.2	0.2	-999	-999	-999	-999	-999	
248	-999	29	1.2	2.72	73.5	11	3.2	90	220	49.4	0.0625	0.03	3.56	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
249	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.06	0.01	1243	7.7	-999	1.6	-999	1.3	87.1	1.6	0.8	389	1.85	0.9	4.28	2	-999	-999	-999	-999	-999	-999	
258	-999	23	1.6	2.7	78.4	34	3.3	260	730	40.3	0.25	-0.19	3.49	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
259	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.07	0.02	1918	12.1	-999	1.9	0.3	0.3	82	0.6	2.8	326	2.03	1.1	5.05	2.2	-999	-999	-999	-999	-999	-999	
268	-999	23.8	1.1	2.77	58.7	26	8.4	130	490	66.4	0.125	0.04	3.55	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
269	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.05	0.01	548	8.1	0.3	3.2	0.3	0.3	85.7	1.4	0.8	370	1.67	0.9	4.33	1.7	-999	-999	-999	-999	-999	-999	
278	-999	25.5	1.1	2.42	72.9	24	6.9	140	540	58.3	0.25	-0.07	3.38	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
279	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.06	0.01	1013	10.1	0.6	2.7	0.3	0.3	84.2	0.3	1.2	350	1.94	1	4.91	2.1	-999	-999	0.3	-999	-999	-999	
288	-999	20.7	0.7	2.05	76.6	34	5	90	650	54.1	0.25	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
