Western Pacific Warm Pool Pleistocene paired d18O-Mg/Ca and SST Reconstruction
---------------------------------------------------------------------
                NOAA Paleoclimatology Program
                               and
         World Data Center for Paleoclimatology, Boulder
---------------------------------------------------------------------
NOTE: PLEASE CITE ORIGINAL REFERENCE WHEN USING THIS DATA!!!!!


NAME OF DATA SET: 
Western Pacific Warm Pool Pleistocene paired d18O-Mg/Ca and SST Reconstruction

LAST UPDATE: 1/2005 (Original Receipt by WDC Paleo)
CONTRIBUTOR: Thibault de Garidel-Thoron, Rutgers University
IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2005-012


SUGGESTED DATA CITATION: de Garidel-Thoron, T., et al.  2005.
Western Pacific Warm Pool Pleistocene paired d18O-Mg/Ca and SST Reconstruction.
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series #2005-012. 
NOAA/NGDC Paleoclimatology Program, Boulder CO, USA. 


ORIGINAL REFERENCE: 
de Garidel-Thoron, T., Y. Rosenthal1, F. Bassinot, and L. Beaufort. 2005.  
Stable sea surface temperatures in the western Pacific warm pool 
over the past 1.75 million years.  
Nature Vol. 433, No.7023, pp. 294-298 (20 January 2005); doi:10.1038/nature03189 


ABSTRACT:
About 850,000 years ago, the period of the glacial cycles changed
from 41,000 to 100,000 years. This mid-Pleistocene climate
transition has been attributed to global cooling, possibly caused
by a decrease in atmospheric carbon dioxide concentrations.
However, evidence for such cooling is currently restricted to the
cool upwelling regions in the eastern equatorial oceans,
although the tropical warm pools on the western side of the
ocean basins are particularly sensitive to changes in radiative
forcing. Here we present high-resolution records of sea surface
temperatures spanning the past 1.75 million years, obtained from
oxygen isotopes and Mg/Ca ratios in planktonic foraminifera
from the western Pacific warm pool. In contrast with the eastern
equatorial regions, sea surface temperatures in the western
Pacific warm pool are relatively stable throughout the Pleistocene
epoch, implying little long-term change in the tropical net
radiation budget. Our results challenge the hypothesis of a
gradual decrease in atmospheric carbon dioxide concentrations
as a dominant trigger of the longer glacial cycles since 850,000
years ago. Instead, we infer that the temperature contrast across
the equatorial Pacific Ocean increased, which might have had a
significant influence on the mid-Pleistocene climate transition.


PERIOD OF RECORD:  1.75 MMYrBP - present
GEOGRAPHIC REGION: Western Pacific Warm Pool 


DESCRIPTION:  
This dataset is a high-resolution Pleistocene record (0-1.75Myr ago, 
Marine Isotopic Stages Marine Isotopic Stage 1 to MIS 59) of paired 
d18O and Mg/Ca measurements in planktonic foraminifera 
(Globigerinoides ruber, 250-300mm, white) from the IMAGES core MD97-2140 
located in the heart of the Western Pacific warm pool.

Core MD97-2140:  2°02'N   141° 46'E    2547m. depth



DATA:
Column 1: Depth (cm)  
Column 2: Composite depth (cm)
Column 3: Age (ka BP)
Column 4: d18 ruber (p.mil vs PDB)
Column 5: Mg/Ca ruber (mmol/mol)
Column 6: SST (deg.C)	


   Depth  DepthCmp.   Age    d18O    Mg/Ca     SST 
    1592    1580     494    -1.95     4.1      27.4
    1602    1590     498    -1.96     4.3        28
    1612    1600     505    -1.79       4      27.1
    1622    1610     511    -1.48       5      29.6
    1632    1620     525     -1.9     3.9      27.1
    1642    1630     537    -1.59     4.1      27.6
    1652    1640     544    -1.69     4.1      27.6
    1662    1650     551    -2.03     3.9      27.1
    1672    1660     559    -2.32       4      27.2
    1682    1670     566    -2.35     4.4      28.2
    1692    1680     573    -2.44     4.4      28.3
    1702    1690     576    -2.28     4.3      27.9
    1712    1700     579    -1.98     4.4      28.4
    1722    1710     582    -1.87     4.1      27.6
    1732    1720     593    -2.06     3.9      26.9
    1742    1730     603    -2.07       4      27.2
    1752    1740     608    -2.15     3.5        26
    1762    1750     612    -2.39       4      27.4
    1772    1760     616    -1.99     4.1      27.4
    1782    1770     619    -1.86     4.5      28.6
    1802    1790     624    -1.23     3.9        27
    1812    1800     639    -1.23     3.7      26.3
    1822    1810     643    -1.54     3.5        26
    1832    1820     647    -1.44     3.9        27
    1842    1830     651    -1.43     3.7      26.4
    1852    1840     655    -1.26     3.7      26.3
    1862    1850     671    -1.58     3.7      26.5
    1872    1860     687    -2.23     4.3        28
    1882    1870     695    -2.05     4.2      27.7
    1892    1880     703    -1.91     3.9        27
    1902    1890     706    -1.91     4.9      29.3
    1912    1900     709    -1.94     4.3      27.9
    1922    1910     715     -1.2     4.1      27.6
    1932    1920     720    -1.29     3.9      26.9
    1942    1930     726    -1.64     3.4      25.6
    1952    1940     731    -1.92       4      27.2
    1962    1950     738    -1.51     4.1      27.5
    1972    1960     744     -1.7       4      27.2
    1982    1970     751    -1.51     3.7      26.4
    1992    1980     759    -2.08     3.8      26.6
    2002    1990     768     -1.8     3.7      26.5
    2012    2000     776    -2.36     4.1      27.4
    2022    2010     784    -2.41     4.1      27.4
    2032    2020     789    -2.28     4.5      28.5
    2042    2030     794    -1.43     4.7      28.9
    2052    2040     798    -1.52     4.1      27.6
    2062    2050     802    -1.53     3.4      25.6
    2072    2060     805    -1.82     3.5      25.8
    2082    2070     809     -1.8     3.8      26.8
    2092    2080     814    -2.16     4.3        28
    2102    2090     826    -2.21       4      27.1
    2112    2100     838    -2.01     4.2      27.7
    2122    2110     850    -2.23       4      27.3
    2132    2120     862    -2.08
    2142    2130     865    -1.52
    2152    2140     869    -1.42     4.2      27.7
    2162    2150     872    -1.12     3.8      26.7
    2172    2160     883    -1.17     3.6      26.2
    2182    2170     895    -1.45     3.7      26.3
    2192    2180     906    -1.67     3.8      26.6
    2202    2190     914    -1.34     3.6      26.2
    2212    2200     921    -1.35     4.1      27.4
    2222    2210     927    -1.63     4.1      27.4
    2232    2220     934    -1.71     3.9      26.9
    2242    2230     940    -1.67
    2252    2240     947    -2.15     3.8      26.8
    2262    2250     949    -2.04     4.1      27.4
    2272    2260     952    -2.13     4.7        29
    2282    2270     954       -2     4.8      29.1
