# NOAA Paleoclimatology Program - Paleocean Site Data
# odp982-l-tab.txt
# Complete Data
# File Created: 02-Feb-2010
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Kira T. Lawrence
# Core/Site:      ODP982
# Latitude:       57.30.05N	( 57.50139)
# Longitude:      15.52.03W	( -15.8675)
# Water Depth(m): 1145
#
# Publications:
#   Lawrence, K.T., T.D. Herbert, C.M. Brown, M.E. Raymo, and A.M. Haywood. 2009.
#     High-amplitude variations in North Atlantic sea surface temperature during the
#     early Pliocene warm period. Paleoceanography, 24, PA2218.
#------------------
#
# Description & Notes:
#   North Atlantic ODP982 Pliocene Alkenone SST Reconstruction
#   
#
# Variables:
#             depth         Depth (cm)
#             calyrBP       calendar years B.P. (B.P. = 1950)
#             sst-uk37.p    Sea Surface Temperature from Uk'37 (Prahl et al '88)
#             uk37          Alkenone saturation index
#
# CORE: ODP982
depth	calyrBP 	sst-uk37.p	uk37	notes
847	393402	13.59	0.5	982B 2H-2 15-17
854.5	395232	15.02	0.55	982B 2H-2 22.5-24.5
862	397062	15.06	0.55	982B 2H-2 30-32
869.5	398892	15.15	0.55	982B 2H-2 37.5-39.5
877	400545	15.39	0.56	982B 2H-2 45-47
884.5	401932	15.26	0.56	982B 2H-2 52.5-54.5
892	403314	15.27	0.56	982B 2H-2 60-62
899.5	404699	15.52	0.57	982B 2H-2 67.5-69.5
907	406084	15.24	0.56	982B 2H-2 75-77
914.5	407469	15.34	0.56	982B 2H-2 82.5-84.5
922	408854	14.61	0.54	982B 2H-2 90-92
929.5	410239	14.52	0.53	982B 2H-2 97.5-99.5
937	411622	14.07	0.52	982B 2H-2 105-107
944.5	413002.3	14.26	0.52	982B 2H-2 112.5-114.5
952	414386	14.85	0.54	982B 2H-2 120-122
959.5	415769.8	15.03	0.55	982B 2H-2 127.5-129.5
982	419922	14.49	0.53	982B 2H-3 0-2
1007	424917.6	13.24	0.49	982B 2H-3 25-27
1032	432278	13.14	0.49	982B 2H-3 50-52
1057	440928	12.52	0.46	982B 2H-3 75-77
1082	449578	10.62	0.4	982B 2H-3 100-102
1107	457804	10.37	0.39	982B 2H-3 125-127
1132	465432	11.71	0.44	982B 2H-4 0-2
1157	472678	12.29	0.46	982B 2H-4 25-27
1182	479598	11.58	0.43	982B 2H-4 50-52
1207	486518	13.18	0.49	982B 2H-4 75-77
1232	493438	13.66	0.5	982B 2H-4 100-102
1257	500360	13.59	0.5	982B 2H-4 125-127
1282	507274	12.93	0.48	982B 2H-5 0-2
1307	514194	11.69	0.44	982B 2H-5 25-27
1332	521114	12.34	0.46	982B 2H-5 50-52
1357	528034.4	13.26	0.49	982B 2H-5 75-77
1382	534954.4	12.57	0.47	982B 2H-5 100-102
1407	541868	10.26	0.39	982B 2H-5 125-127
1432	548788	10.5	0.4	982B 2H-6 0-2
1457	555708	10	0.38	982B 2H-6 25-27
1482	563758	12.74	0.47	982B 2H-6 50-52
1507	573336.7	12.61	0.47	982B 2H-6 75-77
1532	583800	14.08	0.52	982B 2H-6 100-102
1557	594621	13.63	0.5	982B 2H-6 125-127
1582	609040	14.4	0.53	982B 2H-7 0-2
1603	621144	13.11	0.48	982C 3H-2 125-127
1626	631505	12.44	0.46	982C 3H-3 0-2
1651	640732	11.81	0.44	982C 3H-3 25-27
1676	649960	12.03	0.45	982C 3H-3 50-52
1701	659182	11.94	0.44	982C 3H-3 75-77
1726	668098	11.27	0.42	982C 3H-3 100-102
1751	676748	12.51	0.46	982C 3H-3 125-127
1776	685398	11.31	0.42	982C 3H-4 0-2
1801	693304	12.45	0.46	982C 3H-4 25-27
1826	700994	14.2	0.52	982C 3H-4 50-52
1851	708786	13.88	0.51	982C 3H-4 75-77
