# NOAA Paleoclimatology Program - Paleocean Site Data
# e49-17-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             William R. Howard
# Core/Site:      E49-17
# Latitude:       48.17.00S	( -48.28333)
# Longitude:      90.15.00E	( 90.25)
# Water Depth(m): 3542
#
# Publications:
#   Howard, W.R., and W.L. Prell. 1992. Late Quaternary surface circulation of the
#     southern Indian Ocean and its relationship to orbital variations. Paleoceanography
#     7:79-118.
#   Howard, W.R., and W.L. Prell. 1994. Late Quaternary carbonate production and
#     preservation in the Southern Ocean: implications for oceanic and atmospheric
#     carbon cycling. Paleoceanography 9:453-482.
#------------------
#
# Description & Notes:
#   Southern Indian Ocean circulation during the late Quaternary
#   
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             carb%         Calcium Carbonate percent
#             cfrac%>150    Coarse fraction percent (>150 micron)
#             d13C          delta C13 PDB
#             d18O          delta O18 PDB
#             drysedwtg     Dry sediment weight (g)
#             Dsqchord      Squared-chord distance
#             forams%       Foraminifers percent
#             forams-b      Benthic Foraminifers (Count)
#             forams-b%     Benthic Foraminifers percent
#             forams/g      Foraminifers per gram
#             foramsfrag    Foraminifers Fragments
#             g.bull%       Globigerina bulloides percent
#             g.infla%      Globorotalia inflata percent
#             g.trc-l%      Globorotalia truncatulinoides (left coiling) percent
#             n.pachy-l%    Neogloboquadrina pachyderma (left coiling) percent
#             n.pachy-r%    Neogloboquadrina pachyderma (right coiling) percent
#             plank         Planktonic foraminifers (Count)
#             radio         Radiolarians (Count)
#             radio%        Radiolarians percent
#             split         Split
#             sst-aug       Sea Surface Temperature (C, August)
#             sst-feb       Sea Surface Temperature (C, February)
#             pd%           Globigerina pachyderma x Globoquadrina dutertrei intergrade percent
#             g.glut%       Globigerinita glutinata percent
#             g.quinq%      Globigerina quinquiloba percent
#             g.trc-r%      Globorotalia truncatulinoides (right coiling) percent
#             g.falco%      Globigerina falconensis percent
#             g.crass%      Globorotalia crassaformis percent
#             g.digit%      Globigerina digitata percent
#             g.hirsu%      Globorotalia hirsuta percent
#             o.univer%     Orbulina universa percent
#             g.duter%      Globoquadrina dutertrei percent
#             g.calid%      Globigerina calida percent
#             g.scit%       Globorotalia scitula percent
#             g.aequi%      Globigerinella aequilateralis percent
#
# CORE: E49-17
depth	yrBP 	carb%	cfrac%>150	d13C	d18O	drysedwtg	Dsqchord	Dsqchord_err	forams%	forams-b	forams-b%	forams/g	foramsfrag	g.bull%	g.infla%	g.trc-l%	n.pachy-l%	n.pachy-r%	plank	radio	radio%	split	sst-aug	sst-aug_err	sst-feb	sst-feb_err	pd%	g.glut%	g.quinq%	g.trc-r%	g.falco%	g.crass%	g.digit%	g.hirsu%	o.univer%	g.duter%	g.calid%	g.scit%	g.aequi%	notes
342	107000	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: 5.4
347	-999	-999	-999	0.19	3.03	-999	0.06	0.02	-999	-999	-999	1972	-999	24.2	11	1.2	62.1	0.6	337	-999	-999	-999	2.63	1.6	6.06	2.1	0.9	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
347	-999	22.5	5.6	0.43	3.45	2.73	-999	-999	48.4	6	1.8	-999	360	-999	-999	-999	-999	-999	-999	120	26.3	0.0625	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
357	-999	27.3	6.6	0.66	2.86	2.88	0.07	0.03	47.5	16	2.9	1506	600	23.8	29.3	1.3	43.1	0.9	543	-999	-999	0.125	3.3	1.5	6.46	1.9	0.9	0.2	0.4	-999	-999	-999	-999	0.2	-999	-999	-999	-999	-999	
367	-999	46.4	7.9	0.21	2.28	3.73	0.07	0.02	67.7	1	0.2	3595	200	35.2	12	3.4	30.6	5.3	420	33	7.3	0.0313	5.46	1.3	7.53	1.4	6.9	4.3	0.7	0.2	0.5	-999	-999	-999	1	-999	-999	-999	-999	
377	-999	59.3	18.6	0.05	2.19	3.47	0.07	0.02	63.5	5	1.4	6771	210	42.4	19.7	4.1	24.6	1.6	366	30	7.6	0.0156	5.9	1.5	8.02	1.5	4.1	2.7	-999	-999	0.6	-999	-999	-999	0.3	-999	-999	-999	-999	
387	-999	57.1	8.6	0.05	2.03	3.46	0.08	0.02	71.1	1	0.2	4548	200	33.1	11.8	2.6	22.4	2.4	493	20	3.9	0.0313	6.09	1.3	8.13	1.4	11.6	8.9	3.7	-999	2.4	-999	-999	-999	0.4	0.6	-999	-999	-999	
390	122000	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: 5.5
397	-999	61.8	6.6	-0.17	2.01	3.87	0.09	0.03	90	2	0.4	3710	50	35.1	9.4	2.9	13.7	2.9	449	10	2.2	0.0313	6.79	1.5	8.78	1.8	15.7	11.2	5.4	-999	1.6	-999	-999	-999	0.2	1.6	0.5	-999	-999	
407	-999	71.2	8	-0.33	2.15	4.63	0.1	0.03	90.6	1	0.3	5334	40	38.5	10.2	2.6	13.6	3.7	385	0	0	0.0156	7.55	1.5	10.53	2.7	19.4	4.2	3.9	-999	1.1	-999	-999	-999	1.8	1.1	-999	-999	-999	
417	-999	76.7	8.2	-0.53	2.66	4.89	0.13	0.04	96.1	1	0.2	6416	20	28.7	9.9	3.1	10.9	2.5	489	10	2	0.0156	7.55	1.5	10.53	2.7	22.6	6.3	8.4	-999	4.8	-999	0.4	-999	1.3	0.2	0.2	0.6	-999	
427	128000	63.9	5.7	-0.38	3.1	4.42	0.05	0.02	80.9	3	0.8	2759	90	36.2	7.1	1.1	44.1	0.5	382	30	7.3	0.0313	3.81	1.4	6.6	1.1	1.6	5	3.4	-999	0.5	-999	0.3	-999	0.3	-999	-999	-999	-999	Event: 6
437	-999	-999	-999	-0.22	2.8	-999	0.09	0.02	-999	-999	-999	1817	-999	42.6	6.4	-999	47.5	0.2	473	-999	-999	-999	4.1	1.8	7.56	2.4	1.5	0.9	0.6	-999	0.2	-999	-999	-999	-999	-999	0.2	-999	-999	
437	-999	40.1	6.4	-0.26	3.54	4.17	-999	-999	62.8	6	1.3	-999	280	-999	-999	-999	-999	-999	-999	250	34.6	0.0625	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
447	-999	6.2	9.2	-999	-999	3.79	0.1	0.02	9.1	19	60	4	90	32.4	2.7	-999	62.2	-999	37	-999	-999	0.5	2.94	2	6.63	2.7	-999	-999	2.7	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
457	-999	-999	-999	0.32	3.82	-999	0.14	0.04	-999	-999	-999	371	-999	45.8	19.3	-999	32.5	2.4	83	-999	-999	-999	4.88	1.9	7.44	1.6	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
457	-999	-999	-999	0	3.43	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
457	-999	10.2	3.4	-0.04	3.9	3.58	-999	-999	38	17	16.4	-999	160	-999	-999	-999	-999	-999	-999	-999	-999	0.0625	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
467	151000	4.5	3.8	0.15	3.71	3.61	0.1	0.04	33.3	13	28.6	22	110	40.5	14.3	-999	42.9	-999	43	-999	-999	0.5	3.72	1.2	6.79	1.7	-999	2.4	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: 6.4
477	-999	2.8	8.5	0.14	3.05	3.36	0.08	0.02	37.5	17	50	14	35	16	16	-999	60	4	26	-999	-999	0.5	2.72	1.5	6.21	1.8	-999	4	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
487	186000	3.4	6.6	-999	-999	3.22	-999	-999	9.1	8	0	-999	190	-999	-999	-999	-999	-999	-999	-999	-999	0.5	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: 7
497	-999	23.3	4.4	0.66	2.98	2.73	0.15	0.01	23.3	31	7.9	534	1200	49.7	36.8	-999	12.4	1.1	364	-999	-999	0.25	7.2	3.4	9.79	4	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
507	-999	35.7	7.6	0.27	2.82	3.17	0.14	0.03	50.7	6	1.3	2234	430	57.9	14.7	-999	26.2	0.2	442	80	15.3	0.0625	5.99	2	8.19	2	0.5	0.2	-999	-999	-999	-999	0.2	-999	-999	-999	-999	-999	-999	
517	194000	-999	-999	0.11	2.68	-999	0.11	0.02	-999	-999	-999	2718	-999	46.7	7.8	0.2	40.4	-999	508	-999	-999	-999	4.08	1.1	6.97	1.4	3	1	0.4	-999	0.6	-999	-999	-999	-999	-999	-999	-999	-999	Event: 7.1
517	194000	41	6.7	-0.01	2.41	2.99	-999	-999	62.9	5	1	-999	300	-999	-999	-999	-999	-999	-999	40	7.3	0.0625	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
520	194000	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	Event: LAD H. Karsteni
527	-999	34.2	7.5	0.22	2.82	3.27	0.1	0.02	47.3	3	0.7	2237	510	52.8	14.6	0.2	30	0.4	457	100	18	0.0625	5.25	1.6	7.52	1.5	0.4	0.7	0.2	-999	0.4	-999	-999	-999	0.2	-999	-999	-999	-999	
537	-999	26.4	5.6	0.39	2.82	2.67	0.15	0.03	30.1	13	2.9	1288	1000	57	16.7	-999	25.4	0.2	430	-999	-999	0.125	5.44	1.8	7.76	1.5	0.7	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
547	-999	22.1	5.1	0.44	3.02	2.68	0.1	0.03	35	28	4.9	806	1000	27.8	29.8	-999	41.7	0.2	539	-999	-999	0.25	3.37	1.4	6.37	2	0.6	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
557	-999	35.2	7.6	0.45	2.78	3.14	0.11	0.04	39.9	8	1.8	2199	650	39.3	23.7	-999	35.4	0.2	431	70	14	0.0625	4.12	1.8	7.22	2.1	1.2	0.2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	
567	-999	33.1	5.9	-999	-999	2.87	0.06	0.02	65.6	4	0.7	3091	290	39.3	11.4	0.4	43.7	0.5	554	70	11.2	0.0625	4.12	1.1	7.08	1.3	0.7	2.4	1.5	-999	-999	-999	0.2	-999	-999	-999	-999	-999	-999	
577	-999	39.7	9.8	0.12	2.56	2.56	0.06	0.02	74.1	2	0.5	5337	150	39.2	8.5	0.9	45.3	0.2	428	40	8.6	0.0313	4.48	1.6	7.39	1.7	1.2	1.9	2.6	0.2	-999	-999	-999	-999	-999	-999	-999	-999	-999	
587	216000	44.9	9.1	0.02	2.57	3.11	0.07	0.02	82.5	0	0	5328	110	45.6	7.6	0.4	36.1	0.2	518	30	5.5	0.0313	4.51	1	7.15	1.4	2	3.9	4.1	-999	0.2	-999	-999	-999	-999	-999	-999	-999	-999	Event: 7.3
597	-999	56.1	11.5	-0.24	2.6	3.63	0.07	0.01	87.5	0	0	6165	50	47.8	8.1	0.3	27.3	0.3	349	10	2.8	0.0156	4.58	0.9	7.71	1.5	2.6	6.4	7	-999	0.3	-999	-999	-999	-999	-999	-999	-999	-999	
