Subantarctic Atlantic and Subarctic Pacific 3.6 Ma Alkenone SST Reconstructions 
----------------------------------------------------------------------- 
               World Data Center for Paleoclimatology, Boulder 
                                  and 
                     NOAA Paleoclimatology Program 
----------------------------------------------------------------------- 
NOTE: PLEASE CITE ORIGINAL REFERENCE WHEN USING THIS DATA!!!!! 


NAME OF DATA SET: 
Subantarctic Atlantic and Subarctic Pacific 3.6 Ma Alkenone SST Reconstructions 

LAST UPDATE: 1/2011 (Original receipt by WDC Paleo) 
CONTRIBUTORS: Martínez-Garcia, A., A. Rosell-Melé, E.L. McClymont, 
R. Gersonde, and G.H. Haug. 
IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2011-006 


WDC PALEO CONTRIBUTION SERIES CITATION: 
Martínez-Garcia, A., et al. 2010. 
Subantarctic Atlantic and Subarctic Pacific 3.6 Ma Alkenone SST Reconstructions. 
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series # 2011-006. 
NOAA/NCDC Paleoclimatology Program, Boulder CO, USA. 


ORIGINAL REFERENCE:  
Martínez-Garcia, A., A. Rosell-Melé, E.L. McClymont, R. Gersonde, 
and G.H. Haug. 2010. 
Subpolar Link to the Emergence of the Modern Equatorial Pacific 
Cold Tongue. 
Science, Vol. 328, No. 5985, pp. 1550-1553, 18 June 2010. 
DOI:10.1126/science.1184480 

ABSTRACT:
The cold upwelling "tongue" of the eastern equatorial Pacific 
is a central energetic feature of the ocean, dominating both 
the mean state and temporal variability of climate in the tropics
and beyond. Recent evidence for the development of the modern 
cold tongue during the Pliocene-Pleistocene transition has been 
explained as the result of extratropical cooling that drove 
a shoaling of the thermocline. We have found that the sub-Antarctic 
and sub-Arctic regions underwent substantial cooling nearly 
synchronous to the cold tongue development, thereby providing 
support for this hypothesis. In addition, we show that sub-Antarctic 
climate changed in its response to Earth's orbital variations, 
from a subtropical to a subpolar pattern, as expected if cooling 
shrank the warm-water sphere of the ocean and thus contracted
the subtropical gyres. 


ADDITIONAL REFERENCES: 
Martínez-Garcia, A., A. Rosell-Melé, W. Geibert, R. Gersonde, 
P. Masqué, V. Gaspari, and C. Barbante. 2009. 
Links between iron supply, marine productivity, sea surface 
temperature, and CO2 over the last 1.1 Ma. 
Paleoceanography, 24, PA1207, doi:10.1029/2008PA001657.  



GEOGRAPHIC REGION: Sub-polar North Pacific and South Atlantic 
PERIOD OF RECORD: 3.6 Ma - present 
FUNDING SOURCES: 
Ministerio de Ciencia e Innovación, Spain, FPU grant to A.M.-G. 



DESCRIPTION: 
Two Subpolar paleotemperature records for the past 3.6 million years 
based on the analysis of alkenone unsaturation indices in marine 
sediments.  Cores are located in the sub-Arctic Pacific (ODP Site 882) 
and the sub-Antarctic Atlantic (ODP Site 1090).  The percentage of 
the C37:4 alkenone relative to the total abundance of C37 alkenones 
(%C37:4) in these records is an additional tracer that can be used 
to infer variations in the meridional extent of polar and subpolar 
conditions through time. 

ODP Site 882: 50°21'N, 167°35'E, water depth 3244m 
ODP Site 1090: 42°54.5'S, 8°54.0'E, water depth 3702m 




DATA: 
1. ODP 982 
Age(ka)     SST(ºC)    %C37:4
1655.42       9.28       0.62
1661.54       7.94       1.10
1667.06       7.42       1.03
1671.96       8.31       0.67
1677.61       8.97       1.25
1681.97       9.44       1.32
1686.63       9.29       0.74
1690.69      13.37       4.12
1694.14      15.15       2.40
1702.33      15.59       3.84
1710.07      12.92       0.52
1714.38      12.97       3.84
1721.24      15.37       1.41
1727.46      15.90       5.36
1733.89      13.77       3.28
1738.85      18.18       1.26
1740.69      16.29       1.85
1742.34      11.71       5.57
1744.00      13.05       4.31
1745.84      15.80       4.38
1747.49      14.87       4.85
1749.33      15.41       4.53
1751.36      13.71       5.78
1752.64      15.50       4.22
1754.48      13.96       5.63
1756.14      15.17       4.10
1758.71      13.63       6.11
1762.09       9.42       7.61
1768.36      13.00       3.27
1775.32      12.23       3.13
1781.59      11.57       5.78
1788.55      10.09       6.85
1794.82      13.55       2.94
1800.34      12.79       3.85
1806.17      11.73       5.47
1825.91      10.90       8.04
1843.56      13.52       1.83
1873.63      13.17       5.19
1898.79      13.59       3.84
1917.80      14.86       6.71
1934.75      13.04       2.33
1947.67      15.04       1.86
1955.51      10.00       3.49
1962.01      16.91       5.58
1968.50       9.28       4.96
1974.55      12.36       2.85
1981.40      11.67       3.62
1991.14      14.01       3.87
1999.20      11.64       3.78
2007.27      14.69       4.76
2017.16      16.68       3.59
2029.20      13.39       5.14
2042.54      12.54       4.49
2054.18      17.10       3.36
2063.23      15.60       4.25
2066.66      14.03       2.99
2078.20      12.71       2.72
2092.84      15.21       2.08
2107.02      11.53       5.72
2121.20      12.51       3.07
2134.47      17.31       1.30
2143.40      15.74       2.64
2158.42      14.74       4.27
2173.54      16.38       4.52
2176.94      15.76       3.22
2180.33      13.48       2.07
2183.72      13.24       1.49
2187.12       9.58       6.01
2190.54       9.47       3.17
2194.15      12.65       2.67
2197.76      12.70       1.88
2201.38      15.88       3.84
2210.40      12.66       3.44
2228.66      13.32       4.00
2241.93      14.67       2.61
2250.78       9.74       7.50
2259.02      10.06       6.45
2267.45      11.96       5.03
2299.76      12.42       2.86
2344.03       9.70       8.63
2380.76      13.26       4.41
2384.85      10.19       9.24
2391.08      12.83       4.31
2396.24      12.00       3.96
2406.38      14.64       3.98
2410.47      18.56       1.25
2418.58      16.91       3.62
2424.97      18.70       0.88
2430.28      15.98       5.58
2438.36      16.89       5.42
2446.45      14.43       5.34
2454.83      12.95       5.26
2462.33      12.35       7.58
2476.50      12.60       2.05
2484.42      15.40       3.23
2488.17      13.46       4.25
2499.34      10.80       1.53
2514.34      13.46       6.97
2526.24      15.04       5.20
2540.52      13.34       5.45
2549.99       9.97       8.91
2559.45      14.24       3.64
2568.91      12.75       2.83
2576.74      12.65       1.81
2586.44       8.83       8.13
2595.86       8.72       4.15
2606.69       9.40       5.22
2617.53      12.53       3.86
2625.52      13.56       3.80
2631.60      13.19       5.54
2636.63      13.24       3.77
2641.67      16.19       2.08
2646.70      13.30       2.41
2651.69      12.69       1.79
2664.55      17.47       1.19
2672.75      17.44       1.50
2678.22      15.23       2.75
2683.69      16.96       1.82
2688.02      15.23       2.58
2694.62      14.09       1.78
2700.25      14.16       2.83
