Western Caribbean ODP 999A Mg/Ca and d18O Data and SST Reconstruction
-----------------------------------------------------------------------
               World Data Center for Paleoclimatology, Boulder
                                  and
                     NOAA Paleoclimatology Program
-----------------------------------------------------------------------
NOTE: PLEASE CITE CONTRIBUTORS WHEN USING THIS DATA!!!!!


NAME OF DATA SET: Western Caribbean ODP 999A Mg/Ca and d18O Data and SST Reconstruction
LAST UPDATE: 4/2006 (Original receipt by WDC Paleo)
CONTRIBUTOR: Matthew W. Schmidt, University of California Davis
IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2006-038


SUGGESTED DATA CITATION: Schmidt, M.W., et al. 2006. 
Western Caribbean ODP 999A Mg/Ca and d18O Data and SST Reconstruction.
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series # 2006-038.
NOAA/NCDC Paleoclimatology Program, Boulder CO, USA.


ORIGINAL REFERENCE: Schmidt, M.W., M.J. Vautravers, and H.J. Spero. 2006.
Western Caribbean sea surface temperatures during the late Quaternary.  
Geochemistry Geophysics Geosystems, vol. 7, no. 2, Q02P10.
doi:10.1029/2005GC000957.
 
ABSTRACT: 
Mg/Ca ratios in the planktonic foraminifera Globigerinoides ruber from 
Colombian Basin core ODP 999A suggest that Caribbean sea surface temperatures 
(SSTs) were from 2.1 to 2.7°C colder than the present during the last three 
glacial maximums. In comparison, faunal derived SSTs (SIMMAX method) show that 
August SSTs in the Caribbean varied <2°C over the past 360 kyr, whereas 
February SSTs varied between 21.0°C and 26.5°C. Changes in the Mg/Ca-SST record 
contain a strong 23 kyr periodicity, suggesting the Mg/Ca-SST record reflects 
a warm season weighted SST average rather than an annual mean SST. Combining 
several dissolution indices, we identify brief periods of decreased carbonate 
preservation in our record and show that MIS 11 stands out as the most intensive 
dissolution cycle in the Caribbean over the last 460 kyr. Comparison of Caribbean 
SST change with a similar estimate of tropical SST variability in the western 
Pacific over the past 360 kyr reveals shifts in the east-west tropical SST gradient 
that are coeval with glacial-interglacial climate change and consistent both with 
a southward migration of the glacial ITCZ and with a glacial El Niño-like mode of 
tropical circulation.


GEOGRAPHIC REGION: Western Caribbean, Colombian Basin 
PERIOD OF RECORD: 475 - 3 KYrBP


DESCRIPTION: 
Western Caribbbean SST's derived from OPD999A Globigerinoides ruber Mg/Ca d18O ratios.  
Caribbean sea surface temperatures (SSTs) were from 2.1 to 2.7°C colder than the present 
during the last three glacial maximums. In comparison, faunal derived SSTs (SIMMAX method) 
show that August SSTs in the Caribbean varied <2°C over the past 360 kyr, whereas February 
SSTs varied between 21.0°C and 26.5°C.  

Core ODP 999A:  12 deg. 45' N, 78 deg. 44' W, 2827m. depth.



DATA:
1. ODP 999A isotope, Mg/Ca, and SST data

 Depth       Age       d18Oc      Mg/Ca      SST(oC)
   881     239.08      -1.41      3.272      25.63
   886     240.17      -1.47      3.185      25.33
   891     241.25      -1.31      3.490      26.35
   896     242.33      -1.02      3.798      27.29
   901     243.42      -1.08      4.258      28.56
   913     246.02      -0.60      3.679      26.93
   916     246.67      -0.61      3.928      27.66
   921     247.75      -0.67      3.606      26.71
   926     248.83      -0.66      3.277      25.65
   931     249.92      -0.33      3.432      26.16
   936     251.00      -0.24      3.598      26.68
   941     251.94      -0.46      3.290      25.69
   948     253.26      -0.72      3.699      26.99
   953     254.20      -0.71      3.435      26.17
   956     254.76      -0.63      3.356      25.91
   961     255.71      -0.44      3.488      26.34
   966     256.65      -0.51      3.499      26.38
   971     257.59      -0.85      3.302      25.73
   976     258.53      -0.66      3.452      26.23
   981     259.47      -0.78      3.364      25.94
   986     260.41      -0.66      3.383      26.00
   991     261.35      -0.58      3.315      25.77
   996     262.29      -0.57      3.481      26.32
  1001     263.24      -0.68      3.532      26.48
  1006     264.18      -0.68      3.566      26.59
  1011     265.12      -0.74      3.732      27.09
  1016     266.06      -0.44      3.333      25.84
  1021     267.00      -0.42      3.705      27.01
  1026     268.22      -0.48      3.808      27.32
  1031     269.44      -0.45      3.626      26.77
  1036     270.65      -0.70      3.785      27.25
  1041     271.87      -0.61      3.738      27.11
  1046     273.09      -0.73      3.986      27.82
  1051     274.31      -0.93      3.851      27.44
  1056     275.53      -0.67      3.937      27.69
  1063     277.23      -0.82      3.794      27.27
  1066     277.96      -0.71      3.531      26.48
  1071     279.18      -0.95      3.374      25.97
  1076     280.40      -1.04      3.463      26.26
  1081     281.62      -1.01      3.199      25.38
  1086     282.83      -0.96      3.327      25.82
  1091     284.05      -1.17      3.404      26.07
  1099     286.00      -1.26      3.502      26.38
  1104     287.28      -1.05      3.694      26.98
  1106     287.79      -1.05      3.699      26.99
  1111     289.06      -1.07      3.829      27.38
  1116     290.34      -0.89      3.599      26.69
  1121     291.62      -0.99      3.759      27.17
  1126     292.89      -0.96      3.486      26.33
  1131     294.17      -0.99      3.579      26.63
  1136     295.45      -0.90      3.251      25.56
  1141     296.72      -1.01      3.195      25.37
  1146     298.00      -0.93      3.288      25.69
  1152     299.25      -1.05      3.369      25.95
  1156     300.50      -1.24      3.301      25.73
  1161     301.75
  1166     303.01      -1.30      3.299      25.72
  1171     304.26
  1176     305.51      -1.23      3.466      26.27
  1181     306.76      -1.15      3.055      24.87
  1186     308.01      -1.33      3.309      25.75
  1191     309.26      -1.31      3.280      25.66
  1196     310.51      -1.18      3.300      25.72
  1201     311.77      -1.40      3.567      26.59
  1206     313.02      -1.40      3.415      26.11
  1215     315.27      -1.40      3.627      26.77
  1220     316.52      -1.38      3.702      27.00
  1226     318.02      -1.46      3.639      26.81
