# Eastern Equatorial Pacific SST Reconstrucition during the last 1.5 Million Years
#-----------------------------------------------------------------------
#               World Data Service for Paleoclimatology, Boulder
#                                   and
#                      NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original publication, online resource and date accessed when using this data.
# If there is no publication information, please cite Investigator, title, online resource and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/20630
# Online_Resource: http://www1.ncdc.noaa.gov/pub/data/paleo/paleocean/by_contributor/dyez2016/dyez2016-sst-gradient.txt
#
# Archive: Paleoceanography
#
# Parameter_Keywords: biomarkers, oxygen isotopes
#---------------------------------------
# Contribution_Date
#    Date: 2017-02-15
#---------------------------------------
# Title
#    Study_Name: Eastern Equatorial Pacific SST Reconstrucition during the last 1.5 Million Years
#---------------------------------------
# Investigators
#      Investigators: Dyez, Kelsey; Ravelo, A. Christina; Mix, Alan. C.
#---------------------------------------
# Description and Notes
#        Description: Alkenone-based sea surface temperatures and age model based on benthic oxygen isotopes. Study covers 1.5 Ma to present.
#---------------------------------------
# Publication
# Authors: Dyez, K.A., A.C. Ravelo, and A.C. Mix
# Published_Date_or_Year: 2016
# Published_Title: Evaluating drivers of Pleistocene eastern tropical Pacific sea surface temperature
# Journal_Name: Paleoceanography
# Volume: 31
# Edition: 
# Issue: 
# Pages: 
# Report Number: 
# DOI: 10.1002/2015PA002873
# Online_Resource: 
# Full_Citation: 
# Abstract: Sea surface temperature (SST) of the eastern equatorial Pacific is a key component of tropical oceanic and atmospheric circulation with global teleconnections. Forcing factors such as local and high-latitude insolation changes, ice sheet size and albedo feedbacks, and greenhouse gas radiation have been proposed as controls of long-term eastern tropical Pacific SST, though the precise role each mechanism plays is not fully known on glacial-interglacial or longer timescales. Here proposed mechanisms are evaluated by comparing orbital-scale records of eastern Pacific SST with forcing variability over the past 1.5 Ma. The primary SST records are a compilation of new and existing data from Ocean Drilling Program Site 1239 at the northeastern margin of the modern eastern Pacific cold tongue and Site 846 SST within the cold tongue. Using time series analysis, we test previously proposed mechanisms for control of long-term tropical SST change and SST gradients in the eastern Pacific. We find that within statistical uncertainties, in the precession band eastern Pacific SST is consistent with direct forcing by equatorial radiation changes in the tropical cold season (summer-fall) rather than inversely correlated as previously suggested. In the obliquity band high-latitude solar forcing leads or is in phase with eastern equatorial Pacific SST, while in the eccentricity band atmospheric greenhouse gas concentrations are closely associated with cold tongue SST. Pleistocene eastern Pacific SST gradients indicate that the gradient on the northern margin of the cold tongue strengthened through the mid-Pleistocene transition, a result compatible with the cold tongue becoming more focused at ~900–650 ka
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: Consortium for Ocean Leadership
#    Grant: 
#---------------------------------------
# Funding_Agency
#    Funding_Agency_Name: National Science Foundation
#    Grant: OCE-623419
#---------------------------------------
# Site Information
# Site_Name: ODP 1239
# Location: Eastern Equatorial Pacific
# Country: 
# Northernmost_Latitude: -0.672
# Southernmost_Latitude: -0.672
# Easternmost_Longitude: -82.081
# Westernmost_Longitude: -82.081
# Elevation: -1414
#---------------------------------------
# Data_Collection
#   Collection_Name: ODP1239-ODP846 SST Dyez16
#   First_Year: 1500000
#   Last_Year: 0
#   Time_Unit: cal yr BP
#   Core_Length: 
#   Notes: SST Difference from ODP 846 (3.1 S, 90.82 W, 3296m)
#---------------------------------------
# Chronology_Information 
# Chronology: 
#---------------------------------------
# Variables
# Data variables follow that are preceded by "##" in columns one and two.
# Variables list, one per line, shortname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
## age_ka-inter	age,,,kiloyears before 1950AD,,paleoceanography,interpolated to 1ky ,,N
## SST-Uk37-1239	sea surface temperature,Uk'37,,degrees Celsius,,reconstruction,from ODP1239,,N
## SST-Uk37-846	sea surface temperature,Uk'37,,degrees Celsius,,reconstruction,from ODP846,,N
## SST-Uk37-diff	sea surface temperature,Uk'37,,degrees Celsius,,reconstruction,difference between ODP1239 and ODP846,,N
## SST-Uk37-diff-100	sea surface temperature,Uk'37,,degrees Celsius,,reconstruction,difference between ODP1239 and ODP846,100-kyr running mean,N
#------------------------
# Data
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Value: NA
age_ka-inter	SST-Uk37-1239	SST-Uk37-846	SST-Uk37-diff	SST-Uk37-diff-100	
970	24.57	22.90	1.67	1.64	
971	24.62	22.77	1.85	1.63	
972	24.66	22.64	2.02	1.63	
973	24.67	22.62	2.05	1.62	
974	24.67	22.65	2.02	1.62	
975	24.67	22.68	1.99	1.61	
976	24.68	22.69	1.99	1.61	
977	24.81	22.66	2.15	1.61	
978	25.00	22.64	2.37	1.60	
979	25.19	22.61	2.59	1.60	
980	25.39	22.60	2.79	1.60	
981	25.38	22.60	2.78	1.59	
982	25.18	22.60	2.58	1.60	
983	24.98	22.60	2.38	1.60	
984	24.79	22.63	2.16	1.60	
985	24.69	22.67	2.02	1.60	
986	24.72	22.72	2.01	1.60	
987	24.76	22.76	2.00	1.60	
988	24.80	22.77	2.03	1.59	
989	24.77	22.97	1.80	1.59	
990	24.63	23.04	1.60	1.58	
991	24.49	23.06	1.42	1.57	
992	24.35	23.09	1.25	1.56	
993	24.30	23.16	1.15	1.55	
994	24.50	23.22	1.28	1.54	
995	24.71	23.24	1.46	1.53	
996	24.91	23.27	1.65	1.52	
997	25.05	23.29	1.76	1.51	
998	24.92	22.97	1.95	1.51	
999	24.77	22.79	1.98	1.51	
1000	24.62	22.67	1.95	1.51	
1001	24.49	22.56	1.93	1.51	
1002	24.43	22.45	1.98	1.51	
1003	24.37	22.40	1.97	1.52	
1004	24.32	22.41	1.91	1.54	
1005	24.27	22.43	1.84	1.56	
1006	24.20	22.45	1.75	1.58	
1007	24.13	22.47	1.67	1.60	
1008	24.06	22.49	1.58	1.63	
1009	24.00	22.40	1.59	1.65	
1010	23.96	22.36	1.60	1.67	
1011	24.01	22.44	1.56	1.68	
1012	24.07	22.53	1.54	1.68	
1013	24.13	22.61	1.51	1.69	
1014	24.18	22.70	1.48	1.69	
1015	24.24	22.82	1.42	1.69	
1016	24.30	22.94	1.36	1.69	
1017	24.36	23.06	1.30	1.69	
1018	24.46	23.17	1.29	1.68	
1019	24.63	23.29	1.34	1.68	
1020	24.81	23.39	1.42	1.67	
1021	24.98	23.40	1.58	1.66	
1022	25.12	23.40	1.72	1.66	
1023	25.21	23.40	1.81	1.65	
1024	25.30	23.40	1.90	1.65	
1025	25.38	23.40	1.98	1.64	
1026	25.41	23.40	2.01	1.63	
1027	25.28	23.40	1.88	1.62	
1028	25.14	23.40	1.74	1.61	
1029	25.00	23.40	1.60	1.59	
1030	24.89	23.40	1.49	1.57	
1031	24.91	23.42	1.48	1.54	
1032	24.93	23.50	1.43	1.52	
1033	24.95	23.59	1.36	1.50	
1034	24.94	23.67	1.27	1.48	
1035	24.80	23.76	1.04	1.47	
1036	24.64	23.80	0.84	1.46	
1037	24.48	23.80	0.68	1.45	
1038	24.33	23.80	0.53	1.44	
1039	24.22	23.80	0.42	1.43	
1040	24.12	23.80	0.32	1.42	
1041	24.03	23.80	0.23	1.42	
1042	23.93	23.80	0.13	1.42	
1043	23.74	23.75	0.00	1.42	
1044	23.52	23.64	-0.12	1.43	
1045	23.30	23.53	-0.24	1.43	
1046	23.08	23.44	-0.36	1.43	
1047	23.08	23.36	-0.28	1.43	
1048	23.21	23.22	-0.01	1.44	
1049	23.34	22.89	0.45	1.44	
1050	23.47	22.57	0.90	1.45	
1051	23.61	22.55	1.06	1.45	
1052	23.77	22.48	1.29	1.45	
1053	23.94	21.91	2.03	1.45	
1054	24.10	21.45	2.64	1.45	
1055	24.37	21.53	2.85	1.45	
1056	24.77	21.54	3.22	1.46	
1057	25.16	21.37	3.79	1.46	
1058	25.55	21.30	4.25	1.46	
1059	25.80	21.35	4.45	1.46	
1060	25.83	21.71	4.12	1.45	
1061	25.86	22.17	3.69	1.44	
1062	25.89	22.73	3.16	1.43	
1063	25.89	23.23	2.66	1.43	
1064	25.83	23.68	2.15	1.42	
1065	25.77	24.10	1.68	1.42	
1066	25.72	24.25	1.47	1.41	
1067	25.68	24.37	1.30	1.41	
1068	25.69	24.67	1.01	1.41	
1069	25.70	24.95	0.75	1.41	
1070	25.72	25.12	0.59	1.40	
1071	25.74	24.83	0.91	1.39	
1072	25.81	24.51	1.31	1.38	
1073	25.89	24.36	1.53	1.37	
1074	25.96	24.43	1.53	1.36	
1075	25.98	24.64	1.34	1.36	
1076	25.75	24.62	1.12	1.36	
1077	25.48	24.53	0.94	1.36	
1078	25.20	24.50	0.70	1.37	
1079	24.94	24.50	0.45	1.37	
1080	24.86	24.46	0.39	1.39	
1081	24.83	24.41	0.41	1.40	
1082	24.80	24.33	0.46	1.41	
1083	24.77	24.24	0.53	1.43	
1084	24.67	24.03	0.64	1.44	
1085	24.54	23.75	0.79	1.45	
1086	24.41	23.50	0.91	1.45	
1087	24.29	23.37	0.92	1.46	
1088	24.29	23.26	1.03	1.47	
1089	24.38	23.20	1.18	1.48	
1090	24.46	23.20	1.26	1.50	
1091	24.54	23.19	1.36	1.51	
1092	24.54	23.05	1.49	1.52	
1093	24.46	22.94	1.52	1.54	
1094	24.39	22.83	1.55	1.55	
1095	24.31	22.78	1.53	1.57	
1096	24.36	22.75	1.62	1.60	
1097	24.57	22.71	1.86	1.63	
1098	24.77	22.70	2.07	1.65	
1099	24.98	22.70	2.28	1.67	
1100	25.12	22.72	2.40	1.68	
1101	25.15	22.87	2.28	1.68	
1102	25.17	23.03	2.14	1.69	
1103	25.19	23.13	2.06	1.69	
1104	25.24	23.18	2.06	1.68	
1105	25.40	23.31	2.09	1.68	
1106	25.57	23.53	2.04	1.67	
1107	25.75	23.76	1.99	1.66	
1108	25.88	23.97	1.90	1.64	
1109	25.59	24.15	1.44	1.61	
1110	25.20	24.27	0.93	1.59	
1111	24.81	24.18	0.63	1.56	
1112	24.64	24.03	0.61	1.54	
1113	24.56	23.79	0.77	1.53	
1114	24.48	23.54	0.95	1.52	
1115	24.35	23.26	1.09	1.52	
1116	24.18	23.08	1.10	1.52	
1117	24.18	23.04	1.14	1.52	
1118	24.17	22.99	1.17	1.52	
1119	23.94	22.92	1.02	1.52	
1120	23.61	22.83	0.78	1.52	
1121	23.12	22.76	0.36	1.52	
1122	23.15	22.66	0.49	1.52	
1123	23.03	22.55	0.48	1.51	
1124	23.71	22.44	1.27	1.51	
1125	23.73	22.25	1.48	1.50	
1126	24.06	22.06	2.00	1.49	
1127	24.10	21.91	2.19	1.49	
1128	24.14	21.78	2.36	1.49	
1129	24.28	21.65	2.62	1.50	
1130	24.44	21.69	2.76	1.51	
1131	24.64	21.83	2.81	1.52	
1132	24.95	21.97	2.98	1.52	
1133	25.05	22.07	2.98	1.53	
1134	24.52	22.16	2.37	1.54	
1135	24.19	22.22	1.97	1.55	
1136	24.05	22.26	1.78	1.56	
1137	23.93	22.30	1.62	1.57	
1138	24.05	22.35	1.70	1.58	
1139	24.27	22.42	1.85	1.59	
1140	24.32	22.70	1.62	1.59	
1141	24.45	23.03	1.41	1.60	
1142	24.81	23.17	1.64	1.61	
1143	24.78	23.12	1.66	1.63	
1144	24.51	22.99	1.52	1.64	
1145	24.78	22.81	1.97	1.66	
1146	25.10	22.73	2.37	1.68	
1147	25.22	22.82	2.40	1.70	
1148	25.31	22.91	2.41	1.71	
1149	24.64	23.03	1.62	1.72	
1150	24.39	23.15	1.24	1.73	
1151	24.62	23.22	1.40	1.73	
1152	24.80	23.27	1.53	1.72	
1153	24.91	23.26	1.64	1.72	
1154	24.81	23.15	1.66	1.71	
1155	24.72	23.04	1.68	1.69	
1156	25.15	23.18	1.97	1.67	
1157	25.68	23.44	2.24	1.66	
1158	25.67	23.68	1.99	1.64	
1159	25.62	23.88	1.74	1.63	
1160	25.64	24.06	1.58	1.62	
1161	25.71	24.06	1.65	1.61	
1162	25.82	24.02	1.80	1.62	
1163	25.92	24.11	1.81	1.62	
1164	26.03	24.27	1.76	1.63	
1165	26.14	24.41	1.73	1.64	
1166	26.17	24.55	1.63	1.65	
1167	26.16	24.67	1.49	1.65	
1168	26.15	24.78	1.37	1.66	
1169	26.14	24.91	1.22	1.66	
1170	26.13	25.06	1.07	1.66	
1171	26.15	25.30	0.85	1.67	
1172	26.19	25.58	0.61	1.68	
1173	26.24	25.64	0.60	1.68	
1174	26.29	25.55	0.74	1.68	
1175	26.34	25.64	0.70	1.67	
1176	26.33	25.65	0.68	1.66	
1177	26.27	25.28	0.99	1.65	
1178	26.21	24.94	1.27	1.63	
1179	26.15	24.86	1.29	1.62	
1180	26.09	24.82	1.27	1.61	
1181	26.08	24.89	1.19	1.59	
1182	26.11	25.02	1.09	1.58	
1183	26.14	24.99	1.15	1.56	
1184	26.17	24.72	1.44	1.54	
1185	26.20	24.46	1.73	1.53	
1186	26.18	24.37	1.82	1.52	
1187	26.13	24.33	1.81	1.52	
1188	26.09	24.26	1.83	1.51	
1189	26.04	24.14	1.89	1.51	
1190	25.99	24.03	1.96	1.51	
1191	26.01	23.83	2.18	1.51	
1192	26.07	23.59	2.48	1.52	
1193	26.13	23.35	2.78	1.52	
1194	26.19	23.11	3.08	1.52	
1195	26.25	22.86	3.38	1.53	
1196	26.16	22.62	3.54	1.52	
1197	25.99	22.53	3.46	1.51	
1198	25.82	22.58	3.24	1.50	
1199	25.65	22.63	3.02	1.49	
1200	25.48	22.68	2.80	1.48	
1201	25.29	22.85	2.44	1.48	
1202	25.09	23.14	1.95	1.48	
1203	24.90	23.44	1.46	1.48	
1204	24.70	23.73	0.97	1.48	
1205	24.51	23.98	0.53	1.48	
1206	24.44	24.00	0.44	1.49	
1207	24.42	24.00	0.42	1.49	
1208	24.40	24.00	0.40	1.49	
1209	24.38	24.00	0.38	1.49	
1210	24.37	23.99	0.38	1.49	
1211	24.54	23.93	0.61	1.50	
1212	24.79	23.86	0.93	1.50	
1213	25.03	23.79	1.25	1.51	
1214	25.28	23.71	1.57	1.51	
1215	25.51	23.64	1.87	1.52	
1216	25.43	23.59	1.84	1.52	
1217	25.25	23.54	1.71	1.53	
1218	25.06	23.48	1.58	1.54	
1219	24.87	23.42	1.45	1.54	
1220	24.69	23.36	1.33	1.55	
1221	24.67	23.36	1.32	1.56	
1222	24.72	23.62	1.09	1.57	
1223	24.76	23.92	0.84	1.57	
1224	24.80	24.21	0.59	1.58	
1225	24.86	24.51	0.36	1.59	
1226	25.18	24.79	0.40	1.61	
1227	25.59	24.99	0.60	1.62	
1228	25.99	25.17	0.82	1.64	
1229	26.39	25.36	1.03	1.65	
1230	26.77	25.54	1.23	1.67	
1231	26.92	25.66	1.26	1.69	
1232	27.00	25.75	1.25	1.71	
1233	27.07	25.83	1.24	1.73	
1234	27.15	25.91	1.24	1.74	
1235	27.23	25.98	1.25	1.76	
1236	27.25	26.04	1.21	1.77	
1237	27.26	26.07	1.19	1.78	
1238	27.27	25.93	1.35	1.79	
1239	27.29	25.76	1.53	1.80	
1240	27.28	25.58	1.71	1.82	
1241	27.16	25.36	1.80	1.83	
1242	27.01	25.15	1.86	1.85	
1243	26.86	24.96	1.90	1.86	
1244	26.71	24.81	1.90	1.86	
1245	26.54	24.66	1.88	1.86	
1246	26.25	24.57	1.68	1.85	
1247	25.94	24.52	1.43	1.84	
1248	25.63	24.46	1.17	1.83	
1249	25.32	24.40	0.92	1.82	
1250	25.02	24.13	0.89	1.81	
1251	24.85	23.80	1.05	1.80	
1252	24.70	23.39	1.31	1.80	
1253	24.54	22.87	1.67	1.81	
1254	24.39	22.46	1.93	1.82	
1255	24.26	22.45	1.81	1.84	
1256	24.24	22.26	1.98	1.86	
1257	24.24	22.11	2.13	1.88	
1258	24.24	22.10	2.14	1.91	
1259	24.14	21.99	2.15	1.93	
1260	24.01	21.77	2.24	1.96	
1261	23.87	21.64	2.24	1.99	
1262	23.86	21.74	2.12	2.01	
1263	24.04	21.85	2.19	2.02	
1264	24.22	21.99	2.23	2.03	
1265	24.37	22.14	2.23	2.03	
1266	24.37	22.10	2.27	2.04	
1267	24.35	22.10	2.25	2.04	
1268	24.34	22.19	2.15	2.04	
1269	24.44	22.33	2.11	2.04	
1270	24.59	22.55	2.04	2.04	
1271	24.74	22.86	1.87	2.03	
1272	24.85	23.17	1.67	2.03	
1273	24.91	23.48	1.43	2.02	
1274	24.98	23.61	1.36	2.03	
1275	25.06	23.36	1.70	2.04	
1276	25.24	23.14	2.10	2.05	
1277	25.42	23.15	2.28	2.08	
1278	25.61	23.18	2.43	2.10	
1279	25.80	23.07	2.72	2.12	
1280	25.99	22.94	3.05	2.13	
1281	26.18	23.03	3.16	2.14	
1282	26.37	23.17	3.20	2.16	
1283	26.39	23.28	3.11	2.17	
1284	26.35	23.37	2.98	2.18	
1285	26.31	23.40	2.91	2.19	
1286	26.27	23.41	2.86	2.19	
1287	26.31	23.50	2.81	2.20	
1288	26.49	23.50	2.99	2.21	
1289	26.69	23.52	3.16	2.21	
1290	26.88	23.57	3.30	2.22	
1291	27.04	23.51	3.52	2.22	
1292	26.87	23.24	3.63	2.22	
1293	26.63	23.26	3.37	2.22	
1294	26.38	23.21	3.17	2.22	
1295	26.14	23.18	2.96	2.22	
1296	25.92	23.13	2.79	2.22	
1297	25.75	23.20	2.55	2.21	
1298	25.58	23.45	2.13	2.22	
1299	25.41	23.31	2.10	2.23	
1300	25.28	23.33	1.95	2.25	
1301	25.36	23.36	2.00	2.26	
1302	25.49	23.09	2.40	2.26	
1303	25.61	23.15	2.46	2.26	
1304	25.73	23.05	2.68	2.26	
1305	25.86	23.19	2.67	2.25	
1306	25.98	23.20	2.78	2.25	
1307	26.10	23.10	3.00	2.25	
1308	26.22	23.16	3.06	2.24	
1309	26.31	23.31	3.00	2.22	
1310	26.24	23.33	2.91	2.21	
1311	26.15	23.09	3.06	2.19	
1312	26.07	23.38	2.69	2.19	
1313	25.99	23.76	2.23	2.18	
1314	25.94	23.87	2.08	2.18	
1315	25.95	23.82	2.14	2.18	
1316	25.96	23.82	2.14	2.18	
1317	25.97	23.94	2.03	2.19	
1318	25.87	23.88	1.99	2.20	
1319	25.70	24.03	1.68	2.22	
1320	25.54	24.45	1.09	2.24	
1321	25.55	24.87	0.68	2.26	
1322	25.76	25.12	0.64	2.28	
1323	25.98	25.24	0.74	2.30	
1324	26.13	24.96	1.17	2.33	
1325	26.16	24.47	1.69	2.35	
1326	26.20	23.95	2.25	2.37	
1327	26.23	23.71	2.52	2.37	
1328	26.26	23.57	2.69	2.37	
1329	26.29	23.52	2.77	2.36	
1330	26.21	23.56	2.65	2.35	
1331	26.11	23.60	2.51	2.33	
1332	26.00	23.60	2.40	2.31	
1333	25.90	23.58	2.32	2.29	
1334	25.80	23.54	2.26	2.26	
1335	25.70	23.51	2.19	2.25	
1336	25.59	23.53	2.06	2.24	
1337	25.49	23.57	1.92	2.23	
1338	25.49	23.60	1.89	2.24	
1339	25.55	23.60	1.95	2.23	
1340	25.61	23.60	2.01	2.22	
1341	25.65	23.61	2.04	2.20	
1342	25.67	23.70	1.96	2.18	
1343	25.69	23.81	1.88	2.17	
1344	25.69	23.90	1.78	2.16	
1345	25.65	24.02	1.63	2.15	
1346	25.61	24.15	1.46	2.13	
1347	25.77	24.36	1.42	2.12	
1348	26.48	24.62	1.86	2.11	
1349	27.21	24.85	2.36	2.11	
1350	27.73	25.03	2.70	2.10	
1351	27.31	25.18	2.12	2.10	
1352	26.78	25.25	1.53	2.09	
1353	26.35	25.30	1.05	2.08	
1354	26.54	25.35	1.19	2.07	
1355	26.84	25.39	1.45	2.05	
1356	27.14	25.47	1.67	2.04	
1357	27.07	25.56	1.52	2.02	
1358	26.83	25.70	1.13	2.00	
1359	26.59	25.91	0.68	1.98	
1360	26.73	26.12	0.62	1.95	
1361	27.18	26.18	1.00	1.94	
1362	27.63	26.14	1.48	1.92	
1363	27.75	26.10	1.65	1.91	
1364	27.46	25.68	1.78	1.90	
1365	27.17	25.08	2.09	1.89	
1366	27.05	24.49	2.56	1.88	
1367	27.26	24.08	3.18	1.88	
1368	27.49	23.78	3.71	1.87	
1369	27.61	23.51	4.10	1.86	
1370	27.44	23.40	4.03	1.86	
1371	27.24	23.32	3.92	1.87	
1372	27.09	23.27	3.82	1.87	
1373	27.12	23.21	3.91	1.88	
1374	27.18	23.20	3.98	1.88	
1375	27.15	23.20	3.95	1.89	
1376	26.48	23.18	3.30	1.88	
1377	25.67	23.13	2.54	1.87	
1378	24.90	23.16	1.74	1.86	
1379	24.82	23.31	1.51	1.85	
1380	24.97	23.50	1.47	1.84	
1381	25.11	23.74	1.38	1.84	
1382	24.99	23.93	1.06	1.83	
1383	24.63	23.72	0.91	1.83	
1384	24.27	23.42	0.86	1.83	
1385	24.38	23.21	1.18	1.83	
1386	25.17	23.20	1.97	1.83	
1387	25.95	23.20	2.75	1.83	
1388	26.35	23.28	3.06	1.82	
1389	25.87	23.42	2.45	1.82	
1390	25.37	23.56	1.81	1.82	
1391	25.07	23.69	1.38	1.82	
1392	25.45	23.76	1.69	1.82	
1393	25.90	23.82	2.08	1.82	
1394	26.25	23.88	2.37	1.82	
1395	26.11	23.96	2.15	1.82	
1396	25.90	24.04	1.86	1.82	
1397	25.71	24.13	1.58	1.82	
1398	25.69	24.19	1.49	1.82	
1399	25.71	24.20	1.51	1.81	
1400	25.72	24.20	1.52	1.79	
1401	25.67	24.20	1.47	1.76	
1402	25.60	24.20	1.40	1.73	
1403	25.53	24.22	1.31	1.71	
1404	25.46	24.24	1.22	1.70	
1405	25.40	24.27	1.14	1.69	
1406	25.35	24.29	1.05	1.68	
1407	25.28	24.30	0.98	1.68	
1408	25.17	24.26	0.91	1.67	
1409	25.07	24.17	0.89	1.68	
1410	25.00	24.08	0.91	1.68	
1411	25.08	23.97	1.11	1.69	
1412	25.17	23.88	1.29	1.69	
1413	25.25	23.86	1.39	1.68	
1414	25.25	23.84	1.41	1.68	
1415	25.23	23.81	1.42	1.67	
1416	25.21	23.87	1.35	1.66	
1417	25.22	23.88	1.34	1.64	
1418	25.23	23.85	1.38	1.61	
1419	25.24	23.83	1.41	1.58	
1420	25.29	23.82	1.47	1.56	
1421	25.36	23.94	1.42	1.54	
1422	25.42	24.01	1.41	1.52	
1423	25.44	24.09	1.36	1.50	
1424	25.43	24.16	1.27	1.49	
1425	25.43	24.18	1.24	1.47	
1426	25.45	24.12	1.33	1.46	
1427	25.52	24.06	1.46	1.45	
1428	25.59	24.05	1.54	1.45	
1429	25.67	24.04	1.62	1.45	
1430	25.79	23.98	1.81	1.45	
1431	25.91	23.94	1.98	1.45	
1432	26.04	24.00	2.04	1.45	
1433	26.20	24.00	2.20	1.45	
1434	26.35	24.06	2.30	1.45	
1435	26.49	24.29	2.20	1.45	
1436	26.47	24.49	1.98	1.44	
1437	26.41	24.58	1.82	1.43	
1438	26.37	24.68	1.69	1.41	
1439	26.37	24.67	1.70	1.38	
1440	26.38	24.63	1.76	1.36	
1441	26.41	24.60	1.81	1.35	
1442	26.46	24.60	1.86	1.33	
1443	26.52	24.60	1.91	1.32	
1444	26.60	24.69	1.91	1.30	
1445	26.69	24.81	1.87	1.29	
1446	26.70	24.91	1.79	1.28	
1447	26.50	24.95	1.55	1.29	
1448	26.28	24.99	1.28	1.30	
1449	26.03	25.22	0.81	1.32	
1450	25.74	25.52	0.22	1.33	
1451	25.46	25.76	-0.30	NA	
1452	25.32	25.72	-0.40	NA	
1453	25.23	25.65	-0.42	NA	
1454	25.13	25.40	-0.26	NA	
1455	25.01	24.77	0.24	NA	
1456	24.89	24.15	0.74	NA	
1457	24.86	23.84	1.02	NA	
1458	24.96	23.64	1.32	NA	
1459	25.05	23.62	1.43	NA	
1460	25.11	23.97	1.14	NA	
1461	25.14	24.23	0.91	NA	
1462	25.17	24.06	1.11	NA	
1463	25.09	23.86	1.23	NA	
1464	24.98	23.89	1.08	NA	
1465	24.86	24.01	0.86	NA	
1466	24.79	24.10	0.69	NA	
1467	24.73	24.14	0.59	NA	
1468	24.75	24.18	0.57	NA	
1469	25.12	24.17	0.96	NA	
1470	25.54	24.07	1.47	NA	
1471	25.90	23.96	1.94	NA	
1472	26.05	23.93	2.13	NA	
1473	26.18	23.98	2.19	NA	
1474	26.33	24.05	2.29	NA	
1475	26.56	24.06	2.50	NA	
1476	26.78	24.11	2.67	NA	
1477	26.80	24.25	2.55	NA	
1478	26.55	24.39	2.16	NA	
1479	26.32	24.55	1.77	NA	
1480	26.29	24.72	1.57	NA	
1481	26.31	24.88	1.43	NA	
1482	26.31	25.02	1.29	NA	
1483	26.23	25.10	1.13	NA	
1484	26.13	25.18	0.95	NA	
1485	26.03	25.26	0.77	NA	
1486	25.94	25.29	0.65	NA	
1487	25.84	25.26	0.58	NA	
1488	25.74	25.23	0.51	NA	
1489	25.65	25.20	0.44	NA	
1490	25.55	25.16	0.39	NA	
1491	25.45	25.12	0.33	NA	
1492	25.35	25.07	0.28	NA	
1493	25.26	25.03	0.23	NA	
1494	25.16	24.82	0.34	NA	
1495	25.24	24.37	0.87	NA	
1496	25.70	23.93	1.77	NA	
1497	25.94	23.48	2.45	NA	
1498	25.87	23.03	2.84	NA	
1499	25.55	22.59	2.96	NA	
1500	25.40	22.14	3.26	NA	
